arrest_id,case_id,accused_person_id,arrest_date,arresting_officer_id
ARR000001,CR000002,A000002,2025-08-02,EMP001469
ARR000002,CR000003,A000003,2025-09-19,EMP004854
ARR000003,CR000004,A000004,2026-07-19,EMP003299
ARR000004,CR000005,A000005,2024-09-18,EMP006193
ARR000005,CR000006,A000006,2026-07-04,EMP008418
ARR000006,CR000007,A000007,2024-07-23,EMP009408
ARR000007,CR000008,A000008,2025-09-19,EMP005413
ARR000008,CR000010,A000010,2025-08-05,EMP009899
ARR000009,CR000011,A000011,2025-02-19,EMP001404
ARR000010,CR000012,A000012,2024-10-16,EMP008055
ARR000011,CR000013,A000013,2026-05-25,EMP004538
ARR000012,CR000014,A000014,2025-06-20,EMP001236
ARR000013,CR000016,A000016,2025-04-23,EMP002192
ARR000014,CR000017,A000017,2025-06-10,EMP004759
ARR000015,CR000018,A000018,2025-06-06,EMP003278
ARR000016,CR000019,A000019,2025-01-10,EMP003298
ARR000017,CR000020,A000020,2024-11-23,EMP008511
ARR000018,CR000021,A000021,2024-10-12,EMP003274
ARR000019,CR000022,A000022,2025-12-02,EMP005480
ARR000020,CR000023,A000023,2025-08-30,EMP008615
ARR000021,CR000024,A000024,2025-02-18,EMP008366
ARR000022,CR000025,A000025,2025-10-05,EMP005755
ARR000023,CR000026,A000026,2025-01-18,EMP008659
ARR000024,CR000027,A000027,2026-01-02,EMP005797
ARR000025,CR000028,A000028,2026-05-09,EMP003258
ARR000026,CR000029,A000029,2026-01-13,EMP007842
ARR000027,CR000030,A000030,2026-06-01,EMP006683
ARR000028,CR000032,A000032,2025-01-10,EMP010001
ARR000029,CR000033,A000033,2025-08-08,EMP003265
ARR000030,CR000034,A000034,2026-05-07,EMP009570
ARR000031,CR000035,A000035,2025-04-10,EMP008845
ARR000032,CR000036,A000036,2024-08-03,EMP003688
ARR000033,CR000037,A000037,2025-10-22,EMP003280
ARR000034,CR000039,A000039,2024-10-14,EMP004905
ARR000035,CR000040,A000040,2025-02-24,EMP000885
ARR000036,CR000042,A000042,2025-02-05,EMP000378
ARR000037,CR000044,A000044,2025-04-14,EMP008603
ARR000038,CR000046,A000046,2025-02-27,EMP000787
ARR000039,CR000047,A000047,2024-11-09,EMP008923
ARR000040,CR000048,A000048,2025-11-03,EMP009606
ARR000041,CR000052,A000052,2025-04-25,EMP005004
ARR000042,CR000054,A000054,2026-02-21,EMP005218
ARR000043,CR000055,A000055,2025-12-26,EMP001252
ARR000044,CR000056,A000056,2024-10-08,EMP001903
ARR000045,CR000057,A000057,2026-07-10,EMP008403
ARR000046,CR000059,A000059,2025-04-12,EMP003290
ARR000047,CR000060,A000060,2025-09-27,EMP002636
ARR000048,CR000062,A000062,2024-08-10,EMP004584
ARR000049,CR000063,A000063,2025-08-19,EMP005888
ARR000050,CR000064,A000064,2026-01-03,EMP004696
ARR000051,CR000065,A000065,2026-07-12,EMP008594
ARR000052,CR000067,A000067,2024-10-11,EMP006174
ARR000053,CR000068,A000068,2025-09-16,EMP009688
ARR000054,CR000069,A000069,2025-01-24,EMP000086
ARR000055,CR000070,A000070,2025-03-22,EMP006167
ARR000056,CR000073,A000073,2026-03-27,EMP007353
ARR000057,CR000074,A000074,2025-12-27,EMP003375
ARR000058,CR000075,A000075,2025-01-18,EMP005266
ARR000059,CR000076,A000076,2026-06-30,EMP006047
ARR000060,CR000078,A000078,2026-02-24,EMP004032
ARR000061,CR000079,A000079,2025-04-26,EMP004951
ARR000062,CR000081,A000081,2025-10-22,EMP003083
ARR000063,CR000082,A000082,2025-04-10,EMP005085
ARR000064,CR000084,A000084,2024-10-12,EMP000646
ARR000065,CR000085,A000085,2024-12-28,EMP008671
ARR000066,CR000086,A000086,2025-09-20,EMP008522
ARR000067,CR000087,A000087,2024-09-02,EMP007098
ARR000068,CR000088,A000088,2025-02-13,EMP006902
ARR000069,CR000089,A000089,2024-10-25,EMP006232
ARR000070,CR000090,A000090,2025-05-11,EMP008098
ARR000071,CR000091,A000091,2026-04-24,EMP003813
ARR000072,CR000092,A000092,2025-09-26,EMP008568
ARR000073,CR000094,A000094,2024-12-18,EMP003327
ARR000074,CR000095,A000095,2025-05-07,EMP008057
ARR000075,CR000096,A000096,2026-01-05,EMP001137
ARR000076,CR000097,A000097,2024-09-01,EMP002477
ARR000077,CR000098,A000098,2025-06-07,EMP009768
ARR000078,CR000099,A000099,2025-01-18,EMP004499
ARR000079,CR000100,A000100,2025-03-28,EMP008505
ARR000080,CR000101,A000101,2026-01-08,EMP002249
ARR000081,CR000103,A000103,2026-03-29,EMP006201
ARR000082,CR000104,A000104,2026-01-01,EMP003535
ARR000083,CR000105,A000105,2025-11-22,EMP008308
ARR000084,CR000106,A000106,2026-06-26,EMP006727
ARR000085,CR000108,A000108,2026-06-30,EMP000392
ARR000086,CR000109,A000109,2025-01-20,EMP003291
ARR000087,CR000110,A000110,2025-10-20,EMP006992
ARR000088,CR000111,A000111,2025-04-07,EMP004318
ARR000089,CR000112,A000112,2025-01-04,EMP007442
ARR000090,CR000114,A000114,2024-10-03,EMP007317
ARR000091,CR000115,A000115,2026-07-05,EMP003002
ARR000092,CR000116,A000116,2026-04-03,EMP003257
ARR000093,CR000117,A000117,2025-10-25,EMP008655
ARR000094,CR000118,A000118,2025-03-20,EMP008521
ARR000095,CR000119,A000119,2026-06-08,EMP001456
ARR000096,CR000120,A000120,2024-11-17,EMP003295
ARR000097,CR000121,A000121,2026-06-26,EMP003295
ARR000098,CR000122,A000122,2025-09-21,EMP008903
ARR000099,CR000124,A000124,2025-07-02,EMP007015
ARR000100,CR000125,A000125,2026-01-18,EMP005296
ARR000101,CR000126,A000126,2025-04-09,EMP003318
ARR000102,CR000127,A000127,2025-06-06,EMP005976
ARR000103,CR000129,A000129,2025-12-26,EMP007284
ARR000104,CR000130,A000130,2025-03-06,EMP007890
ARR000105,CR000131,A000131,2024-07-11,EMP008711
ARR000106,CR000132,A000132,2025-07-13,EMP003300
ARR000107,CR000133,A000133,2025-09-19,EMP006730
ARR000108,CR000134,A000134,2025-04-16,EMP003292
ARR000109,CR000135,A000135,2025-01-27,EMP003310
ARR000110,CR000136,A000136,2024-09-09,EMP002960
ARR000111,CR000137,A000137,2024-09-02,EMP003258
ARR000112,CR000140,A000140,2026-01-23,EMP003367
ARR000113,CR000141,A000141,2026-06-18,EMP007100
ARR000114,CR000142,A000142,2025-09-17,EMP006075
ARR000115,CR000143,A000143,2026-07-31,EMP008555
ARR000116,CR000144,A000144,2026-01-12,EMP003050
ARR000117,CR000145,A000145,2024-08-24,EMP003295
ARR000118,CR000146,A000146,2026-02-23,EMP003966
ARR000119,CR000147,A000147,2026-06-15,EMP006571
ARR000120,CR000148,A000148,2025-07-05,EMP000554
ARR000121,CR000149,A000149,2025-11-30,EMP004596
ARR000122,CR000150,A000150,2026-05-14,EMP006766
ARR000123,CR000151,A000151,2024-09-26,EMP005756
ARR000124,CR000153,A000153,2025-01-15,EMP004961
ARR000125,CR000154,A000154,2025-11-15,EMP003331
ARR000126,CR000155,A000155,2025-10-28,EMP009239
ARR000127,CR000156,A000156,2024-12-14,EMP002636
ARR000128,CR000157,A000157,2024-08-12,EMP002316
ARR000129,CR000158,A000158,2026-06-11,EMP003308
ARR000130,CR000159,A000159,2026-07-08,EMP003268
ARR000131,CR000161,A000161,2024-08-18,EMP002288
ARR000132,CR000162,A000162,2025-01-15,EMP004883
ARR000133,CR000163,A000163,2026-05-06,EMP004818
ARR000134,CR000164,A000164,2025-05-15,EMP008439
ARR000135,CR000165,A000165,2025-02-06,EMP004884
ARR000136,CR000166,A000166,2025-09-11,EMP008641
ARR000137,CR000167,A000167,2025-12-04,EMP004981
ARR000138,CR000169,A000169,2024-12-25,EMP003298
ARR000139,CR000170,A000170,2025-12-23,EMP003417
ARR000140,CR000171,A000171,2025-05-26,EMP008466
ARR000141,CR000172,A000172,2026-05-17,EMP003026
ARR000142,CR000173,A000173,2024-10-11,EMP007470
ARR000143,CR000174,A000174,2025-05-21,EMP003296
ARR000144,CR000175,A000175,2024-08-25,EMP007833
ARR000145,CR000176,A000176,2026-03-25,EMP009773
ARR000146,CR000177,A000177,2025-10-06,EMP005266
ARR000147,CR000178,A000178,2024-07-28,EMP008580
ARR000148,CR000179,A000179,2025-06-23,EMP006110
ARR000149,CR000180,A000180,2024-12-23,EMP005353
ARR000150,CR000181,A000181,2026-02-22,EMP008804
ARR000151,CR000182,A000182,2024-11-10,EMP008767
ARR000152,CR000183,A000183,2025-12-30,EMP003295
ARR000153,CR000184,A000184,2026-06-02,EMP009273
ARR000154,CR000185,A000185,2025-09-22,EMP008923
ARR000155,CR000186,A000186,2025-03-07,EMP003051
ARR000156,CR000187,A000187,2024-10-25,EMP007998
ARR000157,CR000188,A000188,2025-07-17,EMP006647
ARR000158,CR000190,A000190,2025-09-08,EMP003264
ARR000159,CR000191,A000191,2025-04-06,EMP008050
ARR000160,CR000193,A000193,2026-08-01,EMP004553
ARR000161,CR000194,A000194,2025-10-22,EMP006643
ARR000162,CR000195,A000195,2026-06-06,EMP005873
ARR000163,CR000196,A000196,2026-02-14,EMP004265
ARR000164,CR000197,A000197,2025-07-11,EMP005471
ARR000165,CR000198,A000198,2024-10-14,EMP008615
ARR000166,CR000199,A000199,2025-01-09,EMP006443
ARR000167,CR000200,A000200,2025-06-09,EMP004869
ARR000168,CR000202,A000202,2025-11-02,EMP006524
ARR000169,CR000204,A000204,2025-03-17,EMP009971
ARR000170,CR000205,A000205,2026-02-25,EMP004901
ARR000171,CR000207,A000207,2025-08-10,EMP006654
ARR000172,CR000208,A000208,2025-05-01,EMP009460
ARR000173,CR000209,A000209,2024-10-23,EMP009210
ARR000174,CR000210,A000210,2024-09-19,EMP003295
ARR000175,CR000211,A000211,2024-11-18,EMP002951
ARR000176,CR000212,A000212,2025-04-08,EMP003294
ARR000177,CR000213,A000213,2025-11-30,EMP004736
ARR000178,CR000215,A000215,2026-02-10,EMP004102
ARR000179,CR000216,A000216,2024-09-21,EMP006107
ARR000180,CR000217,A000217,2026-04-12,EMP008018
ARR000181,CR000218,A000218,2025-10-20,EMP005145
ARR000182,CR000219,A000219,2026-07-04,EMP003350
ARR000183,CR000220,A000220,2024-08-24,EMP002995
ARR000184,CR000221,A000221,2025-08-21,EMP001527
ARR000185,CR000222,A000222,2026-04-17,EMP000561
ARR000186,CR000223,A000223,2025-06-07,EMP009399
ARR000187,CR000224,A000224,2026-06-13,EMP009236
ARR000188,CR000225,A000225,2025-01-26,EMP001503
ARR000189,CR000226,A000226,2025-01-12,EMP004907
ARR000190,CR000227,A000227,2026-06-15,EMP006137
ARR000191,CR000228,A000228,2024-11-26,EMP003293
ARR000192,CR000229,A000229,2024-12-22,EMP000313
ARR000193,CR000231,A000231,2026-07-28,EMP009261
ARR000194,CR000232,A000232,2026-05-09,EMP004972
ARR000195,CR000233,A000233,2024-08-20,EMP006661
ARR000196,CR000234,A000234,2026-03-20,EMP009441
ARR000197,CR000235,A000235,2025-10-24,EMP001525
ARR000198,CR000236,A000236,2025-08-04,EMP009165
ARR000199,CR000237,A000237,2025-03-20,EMP003262
ARR000200,CR000238,A000238,2024-11-16,EMP006022
ARR000201,CR000239,A000239,2024-12-16,EMP003254
ARR000202,CR000240,A000240,2025-12-18,EMP005528
ARR000203,CR000241,A000241,2025-09-13,EMP008644
ARR000204,CR000242,A000242,2025-07-25,EMP009581
ARR000205,CR000243,A000243,2025-12-16,EMP004396
ARR000206,CR000244,A000244,2025-08-13,EMP002632
ARR000207,CR000245,A000245,2025-07-13,EMP003178
ARR000208,CR000246,A000246,2025-08-26,EMP006562
ARR000209,CR000247,A000247,2024-11-18,EMP008323
ARR000210,CR000248,A000248,2026-07-17,EMP006260
ARR000211,CR000249,A000249,2025-10-07,EMP003684
ARR000212,CR000250,A000250,2024-08-07,EMP006938
ARR000213,CR000251,A000251,2025-03-12,EMP005096
ARR000214,CR000252,A000252,2025-01-13,EMP003273
ARR000215,CR000253,A000253,2026-05-29,EMP005108
ARR000216,CR000254,A000254,2025-01-25,EMP000242
ARR000217,CR000255,A000255,2024-08-09,EMP003285
ARR000218,CR000256,A000256,2024-10-27,EMP009350
ARR000219,CR000257,A000257,2025-06-22,EMP003283
ARR000220,CR000258,A000258,2024-08-12,EMP000581
ARR000221,CR000260,A000260,2024-07-17,EMP004712
ARR000222,CR000261,A000261,2025-09-27,EMP002316
ARR000223,CR000262,A000262,2025-05-21,EMP005821
ARR000224,CR000263,A000263,2025-03-29,EMP001583
ARR000225,CR000265,A000265,2026-05-19,EMP003299
ARR000226,CR000266,A000266,2024-09-18,EMP009257
ARR000227,CR000267,A000267,2024-12-31,EMP003296
ARR000228,CR000268,A000268,2025-02-01,EMP003254
ARR000229,CR000272,A000272,2025-10-15,EMP006675
ARR000230,CR000274,A000274,2025-06-18,EMP007265
ARR000231,CR000275,A000275,2026-05-06,EMP004757
ARR000232,CR000276,A000276,2025-10-28,EMP008593
ARR000233,CR000277,A000277,2024-08-27,EMP001632
ARR000234,CR000278,A000278,2024-08-04,EMP005435
ARR000235,CR000279,A000279,2025-07-15,EMP006153
ARR000236,CR000281,A000281,2025-06-06,EMP001726
ARR000237,CR000282,A000282,2024-08-09,EMP009324
ARR000238,CR000283,A000283,2026-01-07,EMP005129
ARR000239,CR000284,A000284,2026-08-02,EMP003297
ARR000240,CR000285,A000285,2025-08-10,EMP008923
ARR000241,CR000286,A000286,2024-09-26,EMP004824
ARR000242,CR000287,A000287,2024-07-27,EMP000789
ARR000243,CR000289,A000289,2025-08-19,EMP004831
ARR000244,CR000291,A000291,2026-06-16,EMP003288
ARR000245,CR000292,A000292,2025-05-01,EMP006553
ARR000246,CR000293,A000293,2025-10-31,EMP003279
ARR000247,CR000294,A000294,2025-11-17,EMP003356
ARR000248,CR000295,A000295,2025-03-13,EMP004904
ARR000249,CR000298,A000298,2026-03-02,EMP005630
