chargesheet_id,case_id,court_id,court_name,filing_date,filing_officer_id,chargesheet_status
CHG000001,CR000002,CRT0017,Bengaluru Rural Senior Civil Court,2025-10-29,EMP001465,Accepted
CHG000002,CR000003,CRT0080,Hassan Special Court,2025-10-18,EMP004855,Accepted
CHG000003,CR000008,CRT0090,Kalaburagi Special Court,2025-11-16,EMP005419,Filed
CHG000004,CR000013,CRT0075,Gadag Special Court,2026-10-06,EMP004535,Filed
CHG000005,CR000018,CRT0045,Chikkaballapura Special Court,2025-09-30,EMP003280,Filed
CHG000006,CR000020,CRT0130,Tumakuru Special Court,2025-03-11,EMP008512,Filed
CHG000007,CR000025,CRT0094,Kodagu Family Court,2026-02-01,EMP005760,Filed
CHG000008,CR000028,CRT0040,Chamarajanagar Special Court,2026-07-13,EMP003262,Filed
CHG000009,CR000032,CRT0152,Yadgir Senior Civil Court,2025-03-19,EMP010003,Accepted
CHG000010,CR000033,CRT0045,Chikkaballapura Special Court,2026-01-27,EMP003265,Filed
CHG000011,CR000044,CRT0127,Tumakuru Senior Civil Court,2025-06-26,EMP008600,Filed
CHG000012,CR000047,CRT0135,Udupi Special Court,2025-01-13,EMP008923,Accepted
CHG000013,CR000048,CRT0147,Vijayapura Senior Civil Court,2026-02-21,EMP009615,Accepted
CHG000014,CR000052,CRT0076,Hassan District and Sessions Court,2025-10-07,EMP004997,Filed
CHG000015,CR000054,CRT0085,Haveri Special Court,2026-03-19,EMP005210,Filed
CHG000016,CR000059,CRT0042,Chikkaballapura Senior Civil Court,2025-05-08,EMP003291,Accepted
CHG000017,CR000065,CRT0129,Tumakuru Family Court,2026-11-25,EMP008594,Filed
CHG000018,CR000073,CRT0115,Mysuru Special Court,2026-06-15,EMP007344,Accepted
CHG000019,CR000078,CRT0064,Davanagere Family Court,2026-06-03,EMP004034,Accepted
CHG000020,CR000079,CRT0078,Hassan Civil Judge and JMFC Court,2025-07-11,EMP004951,Accepted
CHG000021,CR000080,CRT0066,Dharwad District and Sessions Court,2026-02-06,EMP004270,Accepted
CHG000022,CR000086,CRT0129,Tumakuru Family Court,2026-02-10,EMP008526,Filed
CHG000023,CR000092,CRT0129,Tumakuru Family Court,2026-03-17,EMP008562,Filed
CHG000024,CR000098,CRT0146,Vijayapura District and Sessions Court,2025-10-25,EMP009767,Accepted
CHG000025,CR000108,CRT0010,Ballari Special Court,2026-12-26,EMP000400,Accepted
CHG000026,CR000111,CRT0066,Dharwad District and Sessions Court,2025-06-30,EMP004329,Filed
CHG000027,CR000113,CRT0010,Ballari Special Court,2026-04-06,EMP000409,Accepted
CHG000028,CR000117,CRT0128,Tumakuru Civil Judge and JMFC Court,2026-01-26,EMP008651,Filed
CHG000029,CR000124,CRT0107,Mandya Senior Civil Court,2025-12-26,EMP007009,Filed
CHG000030,CR000126,CRT0055,Chitradurga Special Court,2025-08-07,EMP003323,Filed
CHG000031,CR000131,CRT0126,Tumakuru District and Sessions Court,2024-09-25,EMP008711,Filed
CHG000032,CR000133,CRT0106,Mandya District and Sessions Court,2025-09-29,EMP006743,Filed
CHG000033,CR000138,CRT0108,Mandya Civil Judge and JMFC Court,2025-07-29,EMP006673,Accepted
CHG000034,CR000140,CRT0052,Chitradurga Senior Civil Court,2026-07-31,EMP003369,Accepted
