district,latitude,longitude
Bagalkote,16.1867,75.6961
Ballari,15.1394,76.9214
Belagavi,15.8497,74.4977
Bengaluru Rural,13.2257,77.5750
Bengaluru Urban,12.9716,77.5946
Bidar,17.9133,77.5301
Chamarajanagar,11.9231,76.9395
Chikkaballapura,13.4350,77.7315
Chikkamagaluru,13.3161,75.7720
Chitradurga,14.2306,76.3983
Dakshina Kannada,12.9141,74.8560
Davanagere,14.4644,75.9218
Dharwad,15.4589,75.0078
Gadag,15.4315,75.6340
Hassan,13.0068,76.0996
Haveri,14.7935,75.4042
Kalaburagi,17.3297,76.8343
Kodagu,12.3375,75.8069
Kolar,13.1367,78.1299
Koppal,15.3483,76.1548
Mandya,12.5218,76.8951
Mysuru,12.2958,76.6394
Raichur,16.2076,77.3463
Ramanagara,12.7219,77.2810
Shivamogga,13.9299,75.5681
Tumakuru,13.3409,77.1010
Udupi,13.3409,74.7421
Uttara Kannada,14.7937,74.6869
Vijayapura,16.8302,75.7100
Vijayanagara,15.2695,76.3909
Yadgir,16.7700,77.1376
