occurrence_id,case_id,occurrence_datetime,time_slot,district,taluk,gram_panchayat,village,police_station,crime_latitude,crime_longitude
OCC000001,CR000001,2026-03-28 19:00:57,Evening,Hassan,Hassan,Ambuga,Ambuga,Konanur PS,13.01093,76.112355
OCC000002,CR000002,2025-11-13 02:14:38,Night,Belagavi,Ramdurg,Haletorgal,Ramapur,Katkol PS,15.90096,74.485379
OCC000003,CR000003,2025-03-20 14:41:34,Afternoon,Mysuru,Hunsur,Hegganduru,Hosakote,Narasimharaja Traffic PS,12.267963,76.666951
OCC000004,CR000004,2025-04-07 12:05:03,Afternoon,Kolar,Srinivaspur,Hodali,Kotraguli,KGF CEN Crime PS,13.173865,78.164368
OCC000005,CR000005,2026-04-26 12:49:17,Evening,Kalaburagi,Chincholi,Gidilingadhalli,Gadilingdhalli,Station Bazar PS,17.363221,76.804011
OCC000006,CR000006,2025-01-03 20:41:55,Night,Kolar,Kolar,Huttur,Huthur,Kolar Rural PS,13.152687,78.124482
OCC000007,CR000007,2024-10-02 07:01:12,Morning,Belagavi,Chikodi,Nainglaj,Dhulaganawadi,Belagavi City CEN Crime PS,15.817291,74.477631
OCC000008,CR000008,2025-03-23 08:05:22,Night,Kalaburagi,Sedam,Adaki,Gopanapalli(K),Malkhed PS,17.376741,76.857484
OCC000009,CR000009,2025-02-05 01:40:23,Night,Tumakuru,Madhugiri,Bijavara,Palyadahalli,Arasikere PS,13.287319,77.089639
OCC000010,CR000010,2024-07-22 10:44:10,Afternoon,Tumakuru,Sira,Doddabanagere,Gandihalli,Nonavinakere PS,13.363237,77.088713
OCC000011,CR000011,2026-01-11 12:31:21,Afternoon,Chikkamagaluru,Tarikere,Gulladamane,Kenchenahalli,Koppa PS,13.347505,75.809298
OCC000012,CR000012,2026-07-05 19:41:52,Morning,Mysuru,Tirumakudal - Narsipur,Thuraganuru,Goravanahalli,Deveraja Traffic PS,12.324653,76.632914
OCC000013,CR000013,2025-02-26 02:03:42,Night,Kolar,Bangarapet,Doddavalagamadi,Buragamakanahalli,Mulbagal Town PS,13.127015,78.14974
OCC000014,CR000014,2026-02-18 04:35:03,Night,Chikkaballapura,Chintamani,Konapalli,Nayanahalli,Nandi Giridhama PS,13.409918,77.69643
OCC000015,CR000015,2026-01-20 14:21:31,Late Night,Mysuru,Piriyapatna,Kanagalu,Kambipura,Krishnaraja PS,12.278169,76.621256
OCC000016,CR000016,2024-09-21 13:52:24,Afternoon,Dakshina Kannada,Mangaluru,Unknown,Kankanadi B,Bellare PS,12.959464,74.869224
OCC000017,CR000017,2025-10-13 12:43:53,Morning,Yadgir,Yadgir,Arkera.B.,Khanhalli,Saidapur PS,16.811681,77.157329
OCC000018,CR000018,2025-11-28 18:46:54,Night,Vijayapura,Nidagundi,Itagi,Bidanal,Sindagi PS,16.801732,75.743061
OCC000019,CR000019,2024-07-24 19:45:33,Night,Haveri,Byadgi,Masanagi,Angaragatti,Tadas PS,14.784449,75.394575
OCC000020,CR000020,2025-09-21 16:09:43,Morning,Dharwad,Kalghatgi,Beeravalli,Beeravalli,Dharwad Town PS,15.453008,75.041486
OCC000021,CR000021,2025-01-24 23:01:29,Evening,Bidar,Bidar,Chita,Goonalli,Hokrana PS,17.894384,77.525337
OCC000022,CR000022,2025-12-31 03:17:36,Night,Dakshina Kannada,Mulki,Kilpady,Kilpady,Punjalkatte PS,12.916917,74.877865
OCC000023,CR000023,2024-12-28 12:30:11,Night,Kalaburagi,Kalaburagi,Kumasi,Belura (J),Ferhatabad PS,17.290707,76.801075
OCC000024,CR000024,2025-11-04 14:15:18,Night,Hassan,Hassan,B.Katihalli,Doddapura,Hirisave PS,13.007247,76.151306
OCC000025,CR000025,2025-10-14 15:19:13,Morning,Chikkaballapura,Manchenahalli,Jarabandanahalli,Gondihalli,Peresandra PS,13.461616,77.728258
OCC000026,CR000026,2024-11-24 03:38:24,Night,Yadgir,Shorapur,Yaktapur,Huvinhalli,Wadigere PS,16.73131,77.120372
OCC000027,CR000027,2025-12-22 01:27:21,Afternoon,Chikkamagaluru,Mudigere,B.Bosahalli (Bharatibylu),Kannagere,Koppa PS,13.340253,75.822275
OCC000028,CR000028,2025-11-02 02:34:07,Morning,Chikkaballapura,Sidlaghatta,Ganjigunte,Vemagallu,Nandi Giridhama PS,13.411157,77.684052
OCC000029,CR000029,2025-01-23 05:32:04,Morning,Mysuru,Saraguru,K.Belthur,Shankahalli,Nanjanagudu Rural PS,12.32154,76.636546
OCC000030,CR000030,2025-04-27 22:36:44,Morning,Mysuru,Tirumakudal - Narsipur,Kupya,Hittuvalli,Nanjanagudu Rural PS,12.337504,76.636692
OCC000031,CR000031,2025-10-10 08:08:08,Night,Tumakuru,Pavagada,Palavalli,Palavalli,Turuvekere PS,13.344885,77.058842
