police_station,district,taluk,crime_count,latitude,longitude,nearest_cctv_distance_m,covered
Chamarajanagar Traffic PS,Chamarajanagar,Chamarajanagar,747,12.174139310575637,76.8708904618474,14458.5,False
Chamarajanagar Traffic PS,Chamarajanagar,Gundlupet,568,12.222659237676057,76.75242274823944,4774.72,False
Jayapura PS,Chikkamagaluru,Kadur,246,12.815334048780487,76.40387548780488,2143.37,False
Koppa PS,Chikkamagaluru,Kadur,216,13.081330560185185,76.76608888888889,6968.85,False
Chamarajanagar Traffic PS,Chamarajanagar,Hanur,172,12.20264803488372,77.05583367441861,3022.67,False
Jayapura PS,Chikkamagaluru,Chikkamagaluru,166,12.579845524096385,76.2898801445783,11880.69,False
Koppa PS,Chikkamagaluru,Chikkamagaluru,157,13.048159286624204,76.55027877707006,2672.69,False
Chamarajanagar Traffic PS,Chamarajanagar,Kollegal,142,12.13230357746479,76.91732437323944,16689.92,False
Nandi Giridhama PS,Chikkaballapura,Chintamani,141,13.571045127659572,77.76514291489362,5539.63,False
Chelur PS,Chikkaballapura,Chintamani,124,13.388227266129032,77.04208123387097,1215.09,False
Jayapura PS,Chikkamagaluru,Tarikere,122,13.200449475409837,76.04079794262296,3528.88,False
Peresandra PS,Chikkaballapura,Chintamani,118,13.533851449152545,77.78780297457628,1861.44,False
Koppa PS,Chikkamagaluru,Mudigere,116,13.090057353448277,76.42690372413793,9021.97,False
Peresandra PS,Chikkaballapura,Sidlaghatta,113,13.603013380530973,77.60535030973452,13239.22,False
Chitradurga CEN Crime PS,Chitradurga,Hosdurga,103,14.12671545631068,76.2969372815534,3479.81,False
Jayapura PS,Chikkamagaluru,Ajjampura,101,13.348552415841583,76.34108942574257,2187.61,False
Koppa PS,Chikkamagaluru,Tarikere,100,13.19620485,76.54311735,632.52,False
Nandi Giridhama PS,Chikkaballapura,Sidlaghatta,99,13.35011698989899,77.56147675757576,3475.25,False
Chelur PS,Chikkaballapura,Chikkaballapura,99,13.294334090909093,76.92756406060606,12117.42,False
Chelur PS,Chikkaballapura,Sidlaghatta,99,13.304991131313132,76.86989973737374,11362.18,False
Peresandra PS,Chikkaballapura,Chikkaballapura,93,13.491522483870968,77.65103962365592,4377.2,False
Srirampura PS,Chitradurga,Hosdurga,90,13.607716677777775,76.91162226666667,3408.27,False
Chitrahalli Gate PS,Chitradurga,Chitradurga,88,14.144880318181816,76.26881975,1733.23,False
Chitradurga CEN Crime PS,Chitradurga,Hiriyur,86,14.060594058139534,76.38438066279069,6802.27,False
Nandi Giridhama PS,Chikkaballapura,Chikkaballapura,85,13.500057752941176,77.53059908235294,15142.22,False
Chitradurga CEN Crime PS,Chitradurga,Challakere,85,14.066811235294118,76.43550465882353,10297.48,False
Chamarajanagar Traffic PS,Chamarajanagar,Yelandur,83,12.050620180722891,76.8635858192771,8045.16,False
Chitradurga Extension PS,Chitradurga,Holalkere,82,13.966804243902438,76.3565858902439,14689.92,False
Chitradurga CEN Crime PS,Chitradurga,Holalkere,82,13.918453512195123,76.21263210975609,14574.45,False
Srirampura PS,Chitradurga,Chitradurga,81,13.320363283950616,77.14847112345679,1196.55,False
Srirampura PS,Chitradurga,Holalkere,79,13.454093987341771,77.05608770886076,1952.41,False
Chitrahalli Gate PS,Chitradurga,Hosdurga,79,13.9472672278481,76.30678458227848,13859.04,False
Peresandra PS,Chikkaballapura,Gauribidanur,75,13.474120226666669,77.51235421333334,11923.02,False
Koppa PS,Chikkamagaluru,Ajjampura,73,13.392326136986302,76.41279601369862,5649.32,False
Jayapura PS,Chikkamagaluru,Mudigere,68,12.531303735294117,76.15187211764706,8337.41,False
Dharwad Rural PS,Dharwad,Dharwad,52,15.247203019230769,75.05670359615384,4096.09,False
Dharwad CEN Crime PS,Dharwad,Dharwad,51,15.31444750980392,75.07828982352942,1514.86,False
Alnavar PS,Dharwad,Dharwad,50,15.53381814,74.95953492000001,2676.36,False
Navalgund PS,Dharwad,Dharwad,50,15.54182668,75.14835457999999,7274.36,False
Dharwad Women PS,Dharwad,Kalghatgi,50,15.35120476,75.09609003999999,2238.25,False
Kodagu CEN Crime PS,Kodagu,Somvarpet,50,12.47317884,75.74622954,1504.9,False
Hubli Rural PS,Dharwad,Kalghatgi,49,15.228087591836736,75.14903818367347,3435.79,False
Kodagu Women PS,Kodagu,Somvarpet,49,12.561415693877551,75.92819802040816,7224.21,False
Kundagol PS,Dharwad,Dharwad,48,15.477876375,75.23530964583334,2171.99,False
Kushalanagar Rural PS,Kodagu,Somvarpet,48,12.512645541666666,75.95367825,5300.22,False
Hatcholli PS,Ballari,Siruguppa,48,15.778375916666668,76.95069054166667,3473.48,False
Kutta PS,Kodagu,Somvarpet,47,12.511329063829788,76.20397270212766,13738.58,False
Bellary Rural PS,Ballari,Siruguppa,47,15.25962955319149,76.92762689361703,5171.3,False
Gudageri PS,Dharwad,Dharwad,46,15.277225130434784,75.18527241304348,1921.37,False
Ballari Women PS,Ballari,Siruguppa,45,15.478186977777778,76.30666642222222,14057.4,False
Kalaghatagi PS,Dharwad,Dharwad,44,15.323760545454546,75.06461845454545,622.25,False
Kushtagi PS,Koppal,Koppal,44,15.789136022727272,76.06463347727272,4017.86,False
Dharwad Rural PS,Dharwad,Kalghatgi,44,15.162891431818185,74.98305956818182,6234.89,False
Madikeri Town PS,Kodagu,Somvarpet,44,13.457668272727272,75.98584145454545,13318.03,False
Madikeri Traffic PS,Kodagu,Somvarpet,43,12.504776604651164,75.70133723255815,3104.09,False
Kembhavi PS,Yadgir,Shahpur,43,16.665251511627908,76.55049060465116,5703.94,False
Yelburga PS,Koppal,Kushtagi,42,15.63240261904762,76.02839373809523,5371.53,False
Ponnampet PS,Kodagu,Somvarpet,42,12.216962404761906,75.92576504761905,5170.57,False
Bhagamandala PS,Kodagu,Somvarpet,41,12.637263560975608,76.03144434146341,5643.43,False
Bethamangala PS,Kolar,Malur,41,13.138889512195124,77.97474448780488,2133.57,False
Kushalnagar PS,Kodagu,Somvarpet,40,12.78285855,75.9653977,4647.13,False
Gadag Women PS,Gadag,Ron,40,15.46419295,75.65621935,2721.48,False
Tavaregera PS,Koppal,Kushtagi,40,15.777815899999998,76.411383725,6120.59,False
Hebri PS,Udupi,Kundapura,40,13.50586445,75.46150655,25323.68,False
Kamasamudram PS,Kolar,Mulbagal,40,12.91566215,78.218987325,717.06,False
Sunticoppa PS,Kodagu,Somvarpet,40,12.56709165,75.9638515,4301.12,False
Mulagund PS,Gadag,Gadag,40,15.2689175,75.527881225,1928.27,False
BEML Nagar PS,Kolar,Malur,39,13.09196641025641,77.90044856410256,3770.75,False
