cctv_id,cctv_name,district_id,district,taluk_id,taluk,gp_id,gram_panchayat,village_id,village,latitude,longitude,location_type,coverage_radius_meters,status,nearest_police_station
CCTV00001_1,Amengad PS - Traffic Junction CCTV,524,Bagalkote,7062,Ilkal,215236.0,Hire-Kodagalli,599019,Sevalalnagara,16.059502826397523,75.95012825310059,Traffic Junction,150,Active,Amengad PS
CCTV00001_2,Amengad PS - ATM CCTV,524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598873,Muganur,16.056646525875657,75.94660060611893,ATM,200,Active,Amengad PS
CCTV00001_3,Amengad PS - Bus Stand CCTV,524,Bagalkote,5447,Bagalkot,215192.0,Kadampur,598793,Salagundi,16.056578183244625,75.94244080373234,Bus Stand,200,Active,Amengad PS
CCTV00002_1,Badami PS - Government Hospital CCTV,524,Bagalkote,7062,Ilkal,215238.0,Hire-Oatgeri,599006,Vajjal,15.925712719047791,75.67834317187402,Government Hospital,150,Active,Badami PS
CCTV00002_2,Badami PS - Bank CCTV,524,Bagalkote,5443,Jamkhandi,215256.0,Bidari,598472,Bidari,15.917666508467915,75.67929260870552,Bank,100,Maintenance,Badami PS
CCTV00002_3,Badami PS - Bank CCTV,524,Bagalkote,5448,Hungund,215232.0,Dhannur,598943,Kamadatta,15.921062133587306,75.68132074967015,Bank,100,Active,Badami PS
CCTV00002_4,Badami PS - Railway Station CCTV,524,Bagalkote,5448,Hungund,273106.0,Bisaladinni,598915,Bisaladinni,15.923592252742566,75.67982749623722,Railway Station,150,Active,Badami PS
CCTV00002_5,Badami PS - Government Hospital CCTV,524,Bagalkote,7061,Guledgudda,215169.0,Layadgundi,598673,Asangi,15.919837545244356,75.67927856002062,Government Hospital,200,Maintenance,Badami PS
CCTV00002_6,Badami PS - Market CCTV,524,Bagalkote,5443,Jamkhandi,215265.0,Hulyal,598444,Hulyal,15.920275833239657,75.67670196405429,Market,150,Active,Badami PS
CCTV00003_1,Bagalkot CEN Crime PS - Bus Stand CCTV,524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598872,Amblikoppa,16.15764175695237,75.66884544831677,Bus Stand,100,Maintenance,Bagalkot CEN Crime PS
CCTV00003_2,Bagalkot CEN Crime PS - Market CCTV,524,Bagalkote,5447,Bagalkot,215190.0,Hire - Gulbal,598811,Hiregulabal,16.156990372345735,75.66858270493398,Market,200,Active,Bagalkot CEN Crime PS
CCTV00003_3,Bagalkot CEN Crime PS - Bus Stand CCTV,524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598871,Basawanal,16.158785701773393,75.6607803375015,Bus Stand,200,Active,Bagalkot CEN Crime PS
CCTV00004_1,Bagalkot Rural PS - Government Hospital CCTV,524,Bagalkote,7061,Guledgudda,273087.0,Hanapur-Sp,598677,Murudi,16.176465224189602,75.69141885769398,Government Hospital,150,Active,Bagalkot Rural PS
CCTV00004_2,Bagalkot Rural PS - Bus Stand CCTV,524,Bagalkote,5445,Mudhol,273120.0,Gulagal-Jambagi,598579,Gulgal Jambagi,16.182919836980037,75.69568269743756,Bus Stand,100,Active,Bagalkot Rural PS
CCTV00004_3,Bagalkot Rural PS - Bus Stand CCTV,524,Bagalkote,7398,Terdal,215259.0,Golabavi,598420,Golbhavi,16.182293497746354,75.69304569593132,Bus Stand,150,Maintenance,Bagalkot Rural PS
CCTV00004_4,Bagalkot Rural PS - School CCTV,524,Bagalkote,5448,Hungund,273106.0,Bisaladinni,598913,Katagur,16.179393269999746,75.6970880042864,School,200,Active,Bagalkot Rural PS
CCTV00004_5,Bagalkot Rural PS - Bank CCTV,524,Bagalkote,5446,Badami,273085.0,Alur-Sk,598726,Beeranur,16.18534683285337,75.6973720384183,Bank,150,Active,Bagalkot Rural PS
CCTV00004_6,Bagalkot Rural PS - Government Office CCTV,524,Bagalkote,5447,Bagalkot,215187.0,Chikka- Shellikeri,598801,Chickka-Shellikeri,16.183683881766658,75.69534384428991,Government Office,100,Maintenance,Bagalkot Rural PS
CCTV00005_1,Bagalkot Town PS - Railway Station CCTV,524,Bagalkote,5444,Bilgi,215211.0,Herkal,598543,Yelligutti,16.115886943430414,75.65492793690215,Railway Station,150,Active,Bagalkot Town PS
CCTV00005_2,Bagalkot Town PS - ATM CCTV,524,Bagalkote,5448,Hungund,273106.0,Bisaladinni,598915,Bisaladinni,16.114885057204436,75.66037542956444,ATM,200,Maintenance,Bagalkot Town PS
CCTV00005_3,Bagalkot Town PS - School CCTV,524,Bagalkote,5445,Mudhol,,,598615,Lokapur,16.120118619041065,75.65493211700937,School,100,Active,Bagalkot Town PS
CCTV00005_4,Bagalkot Town PS - Market CCTV,524,Bagalkote,7063,Rabakavi Banahatti,215295.0,Kesarkoppa,598546,Bisanal,16.122097660019254,75.65409168010854,Market,200,Active,Bagalkot Town PS
CCTV00005_5,Bagalkot Town PS - College CCTV,524,Bagalkote,5447,Bagalkot,215194.0,Khajidoni,598773,Ankalagi,16.12026263873554,75.65293660348927,College,200,Active,Bagalkot Town PS
CCTV00005_6,Bagalkot Town PS - School CCTV,524,Bagalkote,5446,Badami,215159.0,Hullikeri,598649,Gubberakoppa,16.112511525292224,75.65334725674263,School,100,Active,Bagalkot Town PS
CCTV00006_1,Bagalkot Traffic PS - Bus Stand CCTV,524,Bagalkote,5447,Bagalkot,215182.0,Bagavati,598847,Bhagavati,16.160368142936278,75.6740768283559,Bus Stand,150,Active,Bagalkot Traffic PS
CCTV00006_2,Bagalkot Traffic PS - College CCTV,524,Bagalkote,5444,Bilgi,215216.0,Kollur,598476,Chowdapur,16.15930575194956,75.66731821179722,College,150,Active,Bagalkot Traffic PS
CCTV00006_3,Bagalkot Traffic PS - Government Hospital CCTV,524,Bagalkote,5448,Hungund,215228.0,Binjawadgi,598961,Kadiwal(Inam),16.16013937287671,75.67175296307751,Government Hospital,150,Active,Bagalkot Traffic PS
CCTV00006_4,Bagalkot Traffic PS - Bank CCTV,524,Bagalkote,5446,Badami,215171.0,Mangalore,598754,Hirenasabi,16.15781987835513,75.67025373665841,Bank,100,Active,Bagalkot Traffic PS
CCTV00007_1,Bagalkot Women PS - Railway Station CCTV,524,Bagalkote,5443,Jamkhandi,215270.0,Kankanwadi,598431,Kadakol,16.11987079257739,75.65085100328898,Railway Station,150,Maintenance,Bagalkot Women PS
CCTV00007_2,Bagalkot Women PS - College CCTV,524,Bagalkote,7062,Ilkal,215241.0,Jambaldinni,598997,Kesarabhavi,16.120931192342795,75.6561577972304,College,100,Active,Bagalkot Women PS
CCTV00007_3,Bagalkot Women PS - Government Hospital CCTV,524,Bagalkote,5446,Badami,215173.0,Mutalgeri,598757,Yaragoppa.S.B,16.114982035059846,75.6577732202297,Government Hospital,200,Active,Bagalkot Women PS
CCTV00008_1,Banahatti PS - Bank CCTV,524,Bagalkote,5447,Bagalkot,215184.0,Benakatti,598855,Ingalagi,16.478568797433688,75.12656419374804,Bank,150,Active,Banahatti PS
CCTV00008_2,Banahatti PS - School CCTV,524,Bagalkote,5446,Badami,215178.0,Neerbhudihal,598634,Jalageri,16.472773137763017,75.12522816831668,School,100,Active,Banahatti PS
CCTV00008_3,Banahatti PS - Government Office CCTV,524,Bagalkote,7063,Rabakavi Banahatti,215258.0,Chimmad,598422,Chimmad,16.47524221129813,75.12383731051719,Government Office,150,Active,Banahatti PS
CCTV00008_4,Banahatti PS - Government Hospital CCTV,524,Bagalkote,5444,Bilgi,273103.0,Heggura,598506,Heggur,16.47868175405475,75.12682389565533,Government Hospital,200,Active,Banahatti PS
CCTV00008_5,Banahatti PS - ATM CCTV,524,Bagalkote,5446,Badami,215148.0,Adagal,598749,Kabbalageri,16.480727890943964,75.12289877897321,ATM,150,Maintenance,Banahatti PS
CCTV00008_6,Banahatti PS - Government Office CCTV,524,Bagalkote,5443,Jamkhandi,215266.0,Hunnur,598438,Hunnur,16.475904128493987,75.123531129991,Government Office,200,Active,Banahatti PS
CCTV00009_1,Bilagi PS - ATM CCTV,524,Bagalkote,7061,Guledgudda,273087.0,Hanapur-Sp,598686,Saraswathinagar,16.35108597291823,75.61483598297141,ATM,200,Maintenance,Bilagi PS
CCTV00009_2,Bilagi PS - College CCTV,524,Bagalkote,5448,Hungund,273109.0,Hire Badawadagi,598940,Bannihatti,16.34759469572686,75.61658290009156,College,100,Active,Bilagi PS
CCTV00009_3,Bilagi PS - Railway Station CCTV,524,Bagalkote,5447,Bagalkot,215203.0,Yadahalli,598780,Chebbi,16.348712047795242,75.61411562334654,Railway Station,200,Active,Bilagi PS
CCTV00009_4,Bilagi PS - School CCTV,524,Bagalkote,5443,Jamkhandi,215268.0,Jambagi B.K.,598462,Takkod,16.348313144012447,75.61475725589861,School,100,Active,Bilagi PS
CCTV00009_5,Bilagi PS - Government Office CCTV,524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598873,Muganur,16.344875695010966,75.61480764295081,Government Office,100,Active,Bilagi PS
