district,taluk,police_station,latitude,longitude,crime_count,avg_hotspot_score,recommended_cctv
Chamarajanagar,Chamarajanagar,Chamarajanagar Traffic PS,12.174139310575637,76.8708904618474,747,49.4,93
Chamarajanagar,Gundlupet,Chamarajanagar Traffic PS,12.222659237676055,76.75242274823944,568,48.6,71
Chikkamagaluru,Kadur,Jayapura PS,12.815334048780489,76.40387548780488,246,48.4,31
Chikkamagaluru,Kadur,Koppa PS,13.081330560185185,76.76608888888889,216,50.1,27
Chamarajanagar,Hanur,Chamarajanagar Traffic PS,12.20264803488372,77.05583367441861,172,51.8,22
Chikkamagaluru,Chikkamagaluru,Jayapura PS,12.579845524096385,76.2898801445783,166,48.6,21
Chikkamagaluru,Chikkamagaluru,Koppa PS,13.048159286624205,76.55027877707006,157,46.2,20
Chamarajanagar,Kollegal,Chamarajanagar Traffic PS,12.13230357746479,76.91732437323944,142,46.6,18
Chikkaballapura,Chintamani,Nandi Giridhama PS,13.571045127659573,77.76514291489362,141,45.8,18
Chikkaballapura,Chintamani,Chelur PS,13.388227266129032,77.04208123387097,124,47.0,16
Chikkamagaluru,Tarikere,Jayapura PS,13.200449475409835,76.04079794262296,122,50.3,15
Chikkaballapura,Chintamani,Peresandra PS,13.533851449152543,77.78780297457628,118,44.6,15
Chikkamagaluru,Mudigere,Koppa PS,13.090057353448275,76.42690372413793,116,50.1,14
Chikkaballapura,Sidlaghatta,Peresandra PS,13.603013380530973,77.60535030973452,113,50.1,14
Chitradurga,Hosdurga,Chitradurga CEN Crime PS,14.126715456310679,76.2969372815534,103,50.1,13
Chikkamagaluru,Ajjampura,Jayapura PS,13.348552415841585,76.34108942574257,101,46.2,13
Chikkamagaluru,Tarikere,Koppa PS,13.196204849999999,76.54311735,100,50.2,12
Chikkaballapura,Sidlaghatta,Nandi Giridhama PS,13.35011698989899,77.56147675757576,99,47.2,12
Chikkaballapura,Chikkaballapura,Chelur PS,13.294334090909091,76.92756406060606,99,50.7,12
Chikkaballapura,Sidlaghatta,Chelur PS,13.304991131313132,76.86989973737374,99,47.7,12
Chikkaballapura,Chikkaballapura,Peresandra PS,13.491522483870968,77.65103962365592,93,47.9,12
Chitradurga,Hosdurga,Srirampura PS,13.607716677777777,76.91162226666667,90,48.0,11
Chitradurga,Chitradurga,Chitrahalli Gate PS,14.144880318181817,76.26881975,88,56.6,11
Chitradurga,Hiriyur,Chitradurga CEN Crime PS,14.060594058139534,76.38438066279069,86,45.7,11
Chikkaballapura,Chikkaballapura,Nandi Giridhama PS,13.500057752941176,77.53059908235294,85,50.9,11
Chitradurga,Challakere,Chitradurga CEN Crime PS,14.066811235294118,76.43550465882353,85,48.7,11
Chamarajanagar,Yelandur,Chamarajanagar Traffic PS,12.050620180722891,76.8635858192771,83,53.1,10
Chitradurga,Holalkere,Chitradurga Extension PS,13.966804243902438,76.3565858902439,82,44.8,10
Chitradurga,Holalkere,Chitradurga CEN Crime PS,13.918453512195123,76.21263210975609,82,51.2,10
Chitradurga,Chitradurga,Srirampura PS,13.320363283950616,77.14847112345679,81,44.5,10
Chitradurga,Holalkere,Srirampura PS,13.454093987341771,77.05608770886076,79,48.7,10
Chitradurga,Hosdurga,Chitrahalli Gate PS,13.9472672278481,76.30678458227848,79,52.6,10
Chikkaballapura,Gauribidanur,Peresandra PS,13.474120226666667,77.51235421333334,75,46.5,9
Chikkamagaluru,Ajjampura,Koppa PS,13.392326136986302,76.41279601369862,73,48.2,9
Chikkamagaluru,Mudigere,Jayapura PS,12.531303735294117,76.15187211764706,68,50.3,8
Dharwad,Dharwad,Dharwad Rural PS,15.247203019230769,75.05670359615384,52,54.1,6
Dharwad,Dharwad,Dharwad CEN Crime PS,15.314447509803921,75.07828982352942,51,48.9,6
Dharwad,Dharwad,Alnavar PS,15.533818140000001,74.95953492000001,50,46.3,6
Dharwad,Dharwad,Navalgund PS,15.54182668,75.14835457999999,50,48.7,6
Dharwad,Kalghatgi,Dharwad Women PS,15.35120476,75.09609003999999,50,49.0,6
Kodagu,Somvarpet,Kodagu CEN Crime PS,12.473178840000001,75.74622954,50,49.7,6
Dharwad,Kalghatgi,Hubli Rural PS,15.228087591836735,75.14903818367347,49,48.5,6
Kodagu,Somvarpet,Kodagu Women PS,12.561415693877551,75.92819802040816,49,51.1,6
Dharwad,Dharwad,Kundagol PS,15.477876375000001,75.23530964583334,48,52.7,6
Kodagu,Somvarpet,Kushalanagar Rural PS,12.512645541666666,75.95367825,48,42.7,6
Ballari,Siruguppa,Hatcholli PS,15.778375916666667,76.95069054166667,48,50.4,6
Kodagu,Somvarpet,Kutta PS,12.511329063829788,76.20397270212766,47,41.9,6
Ballari,Siruguppa,Bellary Rural PS,15.25962955319149,76.92762689361703,47,50.8,6
Dharwad,Dharwad,Gudageri PS,15.277225130434783,75.18527241304348,46,56.3,6
Ballari,Siruguppa,Ballari Women PS,15.478186977777778,76.30666642222222,45,46.7,6
Dharwad,Dharwad,Kalaghatagi PS,15.323760545454546,75.06461845454545,44,52.6,6
Koppal,Koppal,Kushtagi PS,15.789136022727273,76.06463347727272,44,48.6,6
Dharwad,Kalghatgi,Dharwad Rural PS,15.162891431818183,74.98305956818182,44,49.2,6
Kodagu,Somvarpet,Madikeri Town PS,13.457668272727272,75.98584145454545,44,46.6,6
Kodagu,Somvarpet,Madikeri Traffic PS,12.504776604651163,75.70133723255815,43,46.2,5
Yadgir,Shahpur,Kembhavi PS,16.665251511627908,76.55049060465116,43,48.6,5
Koppal,Kushtagi,Yelburga PS,15.63240261904762,76.02839373809523,42,44.2,5
Kodagu,Somvarpet,Ponnampet PS,12.216962404761906,75.92576504761905,42,46.5,5
Kodagu,Somvarpet,Bhagamandala PS,12.637263560975608,76.03144434146341,41,49.8,5
Kolar,Malur,Bethamangala PS,13.138889512195123,77.97474448780488,41,46.4,5
Kodagu,Somvarpet,Kushalnagar PS,12.78285855,75.9653977,40,51.0,5
Gadag,Ron,Gadag Women PS,15.464192950000001,75.65621935,40,50.1,5
Koppal,Kushtagi,Tavaregera PS,15.777815899999998,76.411383725,40,46.3,5
Udupi,Kundapura,Hebri PS,13.50586445,75.46150655,40,44.8,5
Kolar,Mulbagal,Kamasamudram PS,12.91566215,78.218987325,40,51.4,5
Kodagu,Somvarpet,Sunticoppa PS,12.56709165,75.9638515,40,52.7,5
Gadag,Gadag,Mulagund PS,15.2689175,75.527881225,40,47.2,5
Kolar,Malur,BEML Nagar PS,13.09196641025641,77.90044856410256,39,41.0,5
Kolar,Kolar,Kyasamballi Police Station,13.29465023076923,77.8643731025641,39,46.1,5
Yadgir,Shorapur,Gurumitkal PS,16.82298023076923,77.33422384615385,39,48.6,5
Udupi,Kundapura,Udupi CEN Crime PS,13.47741757894737,74.76376336842105,38,52.1,5
Kolar,Srinivaspur,Robertsonpet PS,13.18092,78.0242367368421,38,46.0,5
Ballari,Sandur,Gandhinagar PS,15.225261263157895,76.60661626315789,38,45.9,5
Yadgir,Hunasagi,Saidapur PS,16.539789324324325,77.26122356756757,37,43.8,5
Koppal,Kushtagi,Hanumasagar PS,15.753779135135135,76.15329127027027,37,42.2,5
Bengaluru South,Magadi,Bidadi PS,12.85790008108108,77.10110586486486,37,50.3,5
Bengaluru South,Magadi,Channapatna Town PS,12.899662270270271,77.00863983783783,37,50.9,5
Ballari,Siruguppa,Siruguppa PS,15.508625567567568,76.65598332432432,37,49.7,5
