ksp_district,lgd_district
Bagalkot,Bagalkote
Ballari,Ballari
Belagavi City,Belagavi
Belagavi Dist,Belagavi
Bengaluru City,Bengaluru Urban
Bengaluru Dist,Bengaluru Rural
Bidar,Bidar
Chamarajanagar,Chamarajanagar
Chickballapura,Chikkaballapura
Chikkamagaluru,Chikkamagaluru
Chitradurga,Chitradurga
Dakshina Kannada,Dakshina Kannada
Davanagere,Davanagere
Dharwad,Dharwad
Gadag,Gadag
Hassan,Hassan
Haveri,Haveri
Hubballi Dharwad City,Dharwad
K.G.F,Kolar
Kalaburagi,Kalaburagi
Kalaburagi City,Kalaburagi
Kodagu,Kodagu
Kolar,Kolar
Koppal,Koppal
Mandya,Mandya
Mangaluru City,Dakshina Kannada
Mysuru City,Mysuru
Mysuru Dist,Mysuru
Raichur,Raichur
Bengaluru South,Bengaluru South
Shivamogga,Shivamogga
Tumakuru,Tumakuru
Udupi,Udupi
Uttara Kannada,Uttara Kannada
Vijayapur,Vijayapura
Yadgir,Yadgir
Vijayanagara,Vijayanagara
CID,SPECIAL
Coastal Security Police,SPECIAL
ISD Bengaluru,SPECIAL
Karnataka Railways,SPECIAL
