district_id,district_name
1,Bagalkot
2,Ballari
3,Belagavi City
4,Belagavi Dist
5,Bengaluru City
6,Bengaluru Dist
7,Bidar
8,Chamarajanagar
9,Chickballapura
10,Chikkamagaluru
11,Chitradurga
12,CID
13,Coastal Security Police
14,Dakshina Kannada
15,Davanagere
16,Dharwad
17,Gadag
18,Hassan
19,Haveri
20,Hubballi Dharwad City
21,ISD Bengaluru
22,K.G.F
23,Kalaburagi
24,Kalaburagi City
25,Karnataka Railways
26,Kodagu
27,Kolar
28,Koppal
29,Mandya
30,Mangaluru City
31,Mysuru City
32,Mysuru Dist
33,Raichur
34,Bengaluru South
35,Shivamogga
36,Tumakuru
37,Udupi
38,Uttara Kannada
39,Vijayapur
40,Yadgir
41,Vijayanagara
