district,police_station,best_match,score
Dakshina Kannada,Buntwala Rural PS,bantwal,80.0
Dakshina Kannada,Buntwala Town PS,bantwal,80.0
Davanagere,KTJ Nagar PS,ramkrusha nagar,85.5
Hassan,Hallymysore PS,halli,80.0
Hassan,Pension Mohalla PS,ron,72.0
Haveri,Hansabhavi PS,halabhavi,84.21052631578947
Haveri,Kaginele PS,kaginelli,82.35294117647058
Haveri,Savanoor PS,shivanoor,82.35294117647058
Ballari,Hatcholli PS,hachcholli,84.21052631578947
Ballari,Kuduthini PS,kudatini,82.35294117647058
Ballari,Thoranagal PS,toranagallu,85.71428571428572
Hubballi Dharwad City,E and N Crime PS HD city,n m koil vattam,85.5
Hubballi Dharwad City,Kamaripeth PS,kamara,81.81818181818181
Hubballi Dharwad City,Kasabapeth PS,kasta,80.0
Hubballi Dharwad City,Vidyagiri PS,nagiri,81.81818181818181
K.G.F,BEML Nagar PS,ramkrusha nagar,85.5
K.G.F,KGF CEN Crime PS,kanakagiri,60.00000000000001
K.G.F,Kyasamballi Police Station,kesamballi,85.71428571428572
K.G.F,Oorgaum PS,boorgul,71.42857142857143
Kalaburagi,Jewargi PS,jevaragi,80.0
Kalaburagi,Madbool PS,made,77.14285714285715
Kalaburagi,Miryan PS,miriyana,85.71428571428572
Kalaburagi,Ratkal PS,ratakala,85.71428571428572
Kalaburagi,Revoor PS,mahadevpoor,75.00000000000001
Kalaburagi,Sulepet PS,sulapeta,80.0
Kalaburagi,Yedrami PS,yadrami,85.71428571428572
Kalaburagi City,Ferhatabad PS,farahatabad,85.71428571428572
Kalaburagi City,MB Nagar PS,ramkrusha nagar,85.5
Kalaburagi City,Ragavendranagar PS,indranagar,85.26315789473685
Kolar,Gulpet PS,gundlupet,80.0
Koppal,Bevoor PS,kubevoor,85.71428571428572
Mandya,K.R. Pet Rural PS,k satyavara,85.5
Mandya,K.R. Pet Town PS,k satyavara,85.5
Mandya,K.R. Sagar PS,nada k,85.5
Mandya,Kesthur PS,kesturu,85.71428571428572
Belagavi City,Belgaum North Traffic PS,belum,83.33333333333334
Belagavi City,Belgaum South Traffic PS,belum,83.33333333333334
Belagavi City,Udyambag PS,mudya,80.0
Mangaluru City,Kankanady Town PS,kankal,81.81818181818181
Mangaluru City,Kavoor PS,kadoor,83.33333333333334
Mysuru City,Deveraja Traffic PS,devarajapuram,78.75
Mysuru City,Kuvempunagar PS,nagara,81.81818181818181
Mysuru City,Lashkar PS,alankar,71.42857142857143
Mysuru City,Metagalli PS,mettagalla,84.21052631578947
Mysuru City,Nazarbad PS,nazeerabad,77.77777777777779
Mysuru Dist,Kowlande PS,andle,80.0
Mysuru Dist,Yelawala PS,mala,77.14285714285715
Raichur,Balaganoor PS,panoor,81.81818181818181
Raichur,Sirwar PS,sira,80.0
Bengaluru South,Ijoor PS,vamanjoor,80.0
Bengaluru South,Sathnoor PS,athunoora,82.35294117647058
Shivamogga,Doddapete PS,doddarayapete,81.81818181818181
