district_id,ksp_district,lgd_district,police_station_name,address,email,phone,circle,latitude,longitude
1,Bagalkot,Bagalkote,Amengad PS,"HUNGUND ROAD, AMINAGAD",aminagadbgk@ksp.gov.in,8351-280133,Hungunda Circle,16.05661,75.94569
1,Bagalkot,Bagalkote,Badami PS,NEAR BUS STAND BADAMI,badamibgk@ksp.gov.in,8357-220133,Badami Circle,15.922651,75.680036
1,Bagalkot,Bagalkote,Bagalkot CEN Crime PS,BagalkotBagalkot,email@ksp.gov.in,8888-888888,Bagalkot District,16.158585,75.66497
1,Bagalkot,Bagalkote,Bagalkot Rural PS,"NEAR LAXMI NAGAR, BAGALKOT",bgkruralbgk@ksp.gov.in,8354-220460,Bagalkot Rural Circle,16.18101,75.69246
1,Bagalkot,Bagalkote,Bagalkot Town PS,NEAR LAXMI NAGAR BAGALKOT,bgktownbgk@ksp.gov.in,8354-220333,Bagalkot Town Circle,16.11725,75.65572
1,Bagalkot,Bagalkote,Bagalkot Traffic PS,"TAHASHILDAR OFFICE, BAGALKOT",bgktrafficbgk@ksp.gov.in,8354-221333,Bagalkot Town Circle,16.15986,75.67192
1,Bagalkot,Bagalkote,Bagalkot Women PS,"NEAR AMBEDKAR BHAVAN , NAVANAGARBAGALKOT DISTRICT",womanpsbgk@ksp.gov.in,8888-888888,Bagalkot Town Circle,16.1172535,75.655721
1,Bagalkot,Bagalkote,Bagalkote DCRE PS,address,info@police.com,888888888,Bagalkote Circle,0.0,0.0
1,Bagalkot,Bagalkote,Banahatti PS,"NEAR SRA COLLEGE, BANAHATTI",banahattibgk@ksp.gov.in,8353-230292,Banahatti Circle,16.47713,75.12331
1,Bagalkot,Bagalkote,Bilagi PS,NEAR GOVT. HOSPITAL  BILAGI,bilagibgk@ksp.gov.in,8425-275233,Jamakhandi Sub-Division,16.34932,75.61225
1,Bagalkot,Bagalkote,Guledagudda PS,"NEAR KOTIKALL, GULEDAGUDD",guledgudbgk@ksp.gov.in,8357-250333,Badami Circle,16.04822,75.77413
1,Bagalkot,Bagalkote,Hungunda PS,"OPP. GOVT. HOSPITAL, HUNGUND",hungundpsbgk@ksp.gov.in,8351-260333,Hungunda Circle,16.0667,76.06036
1,Bagalkot,Bagalkote,Ilakal PS,"OPP. BUS STAND, ILKAL",ilkalbgk@ksp.gov.in,8351-270333,Hungunda Circle,15.9657,76.1117
1,Bagalkot,Bagalkote,Ilakal Rural PS,Opp. KSRTC Bus standIlakal,email@ksp.gov.in,8888-888888,Hungunda Circle,15.965689,76.111708
1,Bagalkot,Bagalkote,Jamakhandi Rural PS,"NEAR APMC, JAMAKHANDI",jkruralbgk@ksp.gov.in,8353-220623,Jamakhandi Circle,16.50946,75.28045
1,Bagalkot,Bagalkote,Jamakhandi Town PS,"KUDACHI ROAD, JAMAKHANDI",jktownbgk@ksp.gov.in,8353-220033,Jamakhandi Circle,16.51054,75.28063
1,Bagalkot,Bagalkote,Kaladagi PS,"NEAR BUS STAND, KALADAGI",kaladagibgk@ksp.gov.in,8354-240133,Bagalkot Rural Circle,16.20648,75.49732
1,Bagalkot,Bagalkote,Kerur PS,"HUBLI ROAD, KERUR",kerurbgk@ksp.gov.in,8357-230033,Badami Circle,16.0148,75.54766
1,Bagalkot,Bagalkote,Lokapur PS,"NEAR BUS STAND, LOKAPUR",lokapurbgk@ksp.gov.in,8350-240033,Mudhol Circle,16.09461,75.22018
1,Bagalkot,Bagalkote,Mahalingapur PS,"NEAR IB, MAHALINGAPUR",mahalingpurbgk@ksp.gov.in,8350-270033,Mudhol Circle,16.40214,75.10851
1,Bagalkot,Bagalkote,Mudhol PS,"NEAR SBI BANK, MUDHOL",mudholbgk@ksp.gov.in,8350-280133,Mudhol Circle,16.32991,75.28498
1,Bagalkot,Bagalkote,Navanagara PS,address,navnagarbgk@ksp.gov.in,8354-235323,Bagalkot Town Circle,16.15907,75.66154
1,Bagalkot,Bagalkote,Savalgi PS,"INFRONT OF POST OFFICE, SAVALAGI",savalagibgk@ksp.gov.in,8353-250033,Jamakhandi Circle,16.67259,75.34659
1,Bagalkot,Bagalkote,Teradal PS,"DEVARAJ NAGAR, TERDAL",terdalbgk@ksp.gov.in,8353-255133,Banahatti Circle,16.49547,75.05631
10,Chikkamagaluru,Chikkamagaluru,Ajjampura PS,"AJJAMPURA POLICE STATION, TARIKERE TQ, CHICKM",ajjampurackm@ksp.gov.in,08266-245133,Tarikere Sub-Division,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Aldur PS,"ALDUR POLICE STATION, CHICKMAGALUR TQ, CHIKMA",aldurckm@ksp.gov.in,08262-54001,Chickmagalur Rural Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Balehonnur PS,"BALEHONNUR POLICE STATION, N.R.PURA TQ, CHIKM",balehonnurckm@ksp.gov.in,08266-250666,N.R. Pura Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Balur PS,"BALUR POLICE STATION, MUDIGERE TQ, CHIMAGALUR",balurckm@ksp.gov.in,08263-245111,Mudigere Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Banakal PS,"BANAKAL POLICE STATION, MUDIGERE TQ, CHIKMAGA",banakalckm@ksp.gov.in,08263-229049,Mudigere Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Basavanahalli PS,"BASAVANAHALLI PS, NEAT DACG COLLEGE, CHICKMAG",basavanahallickm@ksp.gov.in,08262-222102,Chickmagalur Town Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Birur PS,"BIRUR POLICE STATION, KADUR TQ, CHIKMAGALUR D",birurckm@ksp.gov.in,08267-255656,Birur Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Chickmagalur CEN Crime PS,Chickmagalur,dcbckm@ksp.gov.in,88888-888888,Chikkamagaluru District,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Chickmagalur Rural PS,"RURAL POLICE STATION, BYPASS ROAD, CHIKMAGALU",ruralckm@ksp.gov.in,08262-220588,Chickmagalur Rural Circle,0.0,0.0
10,Chikkamagaluru,Chikkamagaluru,Chickmagalur Town PS,"TOWN POLICE STATION, M.G.ROAD, CHICKMAGALUR",townckm@ksp.gov.in,08262-235333,Chickmagalur Sub-Division,0.0,0.0
