district_id,ksp_district,lgd_district,police_station_name,address,email,phone,circle,latitude,longitude,geocode_status,geocode_query
524.0,Bagalkot,Bagalkote,Amengad PS,"HUNGUND ROAD, AMINAGAD",aminagadbgk@ksp.gov.in,8351-280133,Hungunda Circle,16.21905,75.707935,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Badami PS,NEAR BUS STAND BADAMI,badamibgk@ksp.gov.in,8357-220133,Badami Circle,16.172461,75.725946,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bagalkot CEN Crime PS,BagalkotBagalkot,email@ksp.gov.in,8888-888888,Bagalkot District,16.14746,75.689448,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bagalkot Rural PS,"NEAR LAXMI NAGAR, BAGALKOT",bgkruralbgk@ksp.gov.in,8354-220460,Bagalkot Rural Circle,16.224099,75.687698,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bagalkot Town PS,NEAR LAXMI NAGAR BAGALKOT,bgktownbgk@ksp.gov.in,8354-220333,Bagalkot Town Circle,16.20433,75.714152,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bagalkot Traffic PS,"TAHASHILDAR OFFICE, BAGALKOT",bgktrafficbgk@ksp.gov.in,8354-221333,Bagalkot Town Circle,16.208453,75.695682,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bagalkot Women PS,"NEAR AMBEDKAR BHAVAN , NAVANAGARBAGALKOT DISTRICT",womanpsbgk@ksp.gov.in,8888-888888,Bagalkot Town Circle,16.193128,75.720549,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Banahatti PS,"NEAR SRA COLLEGE, BANAHATTI",banahattibgk@ksp.gov.in,8353-230292,Banahatti Circle,16.20789,75.717689,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Bilagi PS,NEAR GOVT. HOSPITAL  BILAGI,bilagibgk@ksp.gov.in,8425-275233,Jamakhandi Sub-Division,16.174432,75.675239,MANUAL,NOT_FOUND
524.0,Bagalkot,Bagalkote,Guledagudda PS,"NEAR KOTIKALL, GULEDAGUDD",guledgudbgk@ksp.gov.in,8357-250333,Badami Circle,16.187914,75.680687,MANUAL,NOT_FOUND
