district_id,ksp_district,lgd_district,police_station_name,address,email,phone,circle,latitude,longitude,clean_name,match_type
524.0,Bagalkot,Bagalkote,Amengad PS,"HUNGUND ROAD, AMINAGAD",aminagadbgk@ksp.gov.in,8351-280133,Hungunda Circle,16.0572246,75.9450563,aminagada,EXACT
524.0,Bagalkot,Bagalkote,Badami PS,NEAR BUS STAND BADAMI,badamibgk@ksp.gov.in,8357-220133,Badami Circle,15.9203874,75.6807865,badami,EXACT
524.0,Bagalkot,Bagalkote,Bagalkot CEN Crime PS,BagalkotBagalkot,email@ksp.gov.in,8888-888888,Bagalkot District,16.1853166,75.6967919,bagalkot,FUZZY (94.1)
524.0,Bagalkot,Bagalkote,Bagalkot Rural PS,"NEAR LAXMI NAGAR, BAGALKOT",bgkruralbgk@ksp.gov.in,8354-220460,Bagalkot Rural Circle,16.1853166,75.6967919,bagalkot,FUZZY (94.1)
524.0,Bagalkot,Bagalkote,Bagalkot Town PS,NEAR LAXMI NAGAR BAGALKOT,bgktownbgk@ksp.gov.in,8354-220333,Bagalkot Town Circle,16.1853166,75.6967919,bagalkot,FUZZY (94.1)
524.0,Bagalkot,Bagalkote,Bagalkot Traffic PS,"TAHASHILDAR OFFICE, BAGALKOT",bgktrafficbgk@ksp.gov.in,8354-221333,Bagalkot Town Circle,16.1853166,75.6967919,bagalkot,FUZZY (94.1)
524.0,Bagalkot,Bagalkote,Bagalkot Women PS,"NEAR AMBEDKAR BHAVAN , NAVANAGARBAGALKOT DISTRICT",womanpsbgk@ksp.gov.in,8888-888888,Bagalkot Town Circle,16.1853166,75.6967919,bagalkot,FUZZY (94.1)
524.0,Bagalkot,Bagalkote,Banahatti PS,"NEAR SRA COLLEGE, BANAHATTI",banahattibgk@ksp.gov.in,8353-230292,Banahatti Circle,15.6699137,75.4129474,banahatti,EXACT
524.0,Bagalkot,Bagalkote,Bilagi PS,NEAR GOVT. HOSPITAL  BILAGI,bilagibgk@ksp.gov.in,8425-275233,Jamakhandi Sub-Division,16.3464175,75.6190861,bilagi,EXACT
524.0,Bagalkot,Bagalkote,Guledagudda PS,"NEAR KOTIKALL, GULEDAGUDD",guledgudbgk@ksp.gov.in,8357-250333,Badami Circle,16.0504384,75.7899798,guledagudda,EXACT
524.0,Bagalkot,Bagalkote,Hungunda PS,"OPP. GOVT. HOSPITAL, HUNGUND",hungundpsbgk@ksp.gov.in,8351-260333,Hungunda Circle,14.9076941,75.1729128,hunagunda,EXACT
524.0,Bagalkot,Bagalkote,Ilakal PS,"OPP. BUS STAND, ILKAL",ilkalbgk@ksp.gov.in,8351-270333,Hungunda Circle,15.9598085,76.11564,ilakal,EXACT
524.0,Bagalkot,Bagalkote,Ilakal Rural PS,Opp. KSRTC Bus standIlakal,email@ksp.gov.in,8888-888888,Hungunda Circle,15.9598085,76.11564,ilakal,EXACT
524.0,Bagalkot,Bagalkote,Jamakhandi Rural PS,"NEAR APMC, JAMAKHANDI",jkruralbgk@ksp.gov.in,8353-220623,Jamakhandi Circle,16.503896,75.2910386,jamakhandi,EXACT
524.0,Bagalkot,Bagalkote,Jamakhandi Town PS,"KUDACHI ROAD, JAMAKHANDI",jktownbgk@ksp.gov.in,8353-220033,Jamakhandi Circle,16.503896,75.2910386,jamakhandi,EXACT
524.0,Bagalkot,Bagalkote,Kaladagi PS,"NEAR BUS STAND, KALADAGI",kaladagibgk@ksp.gov.in,8354-240133,Bagalkot Rural Circle,16.2071441,75.4996999,kaladagi,EXACT
524.0,Bagalkot,Bagalkote,Kerur PS,"HUBLI ROAD, KERUR",kerurbgk@ksp.gov.in,8357-230033,Badami Circle,18.0484352,77.3244809,kerur,EXACT
524.0,Bagalkot,Bagalkote,Lokapur PS,"NEAR BUS STAND, LOKAPUR",lokapurbgk@ksp.gov.in,8350-240033,Mudhol Circle,16.1627427,75.3685939,lokapur,FUZZY (93.3)
524.0,Bagalkot,Bagalkote,Mahalingapur PS,"NEAR IB, MAHALINGAPUR",mahalingpurbgk@ksp.gov.in,8350-270033,Mudhol Circle,16.3879888,75.1115893,mahalingapur,FUZZY (96.0)
524.0,Bagalkot,Bagalkote,Mudhol PS,"NEAR SBI BANK, MUDHOL",mudholbgk@ksp.gov.in,8350-280133,Mudhol Circle,16.3338591,75.2870794,mudhol,EXACT
524.0,Bagalkot,Bagalkote,Navanagara PS,address,navnagarbgk@ksp.gov.in,8354-235323,Bagalkot Town Circle,12.11511,77.0736938,navanagara,FUZZY (90.0)
