district_id,police_station_name,address,email,phone,circle,latitude,longitude
1,Amengad PS,"HUNGUND ROAD, AMINAGAD",aminagadbgk@ksp.gov.in,8351-280133,Hungunda Circle,16.05661,75.94569
1,Badami PS,NEAR BUS STAND BADAMI,badamibgk@ksp.gov.in,8357-220133,Badami Circle,15.922651,75.680036
1,Bagalkot CEN Crime PS,BagalkotBagalkot,email@ksp.gov.in,8888-888888,Bagalkot District,16.158585,75.66497
1,Bagalkot Rural PS,"NEAR LAXMI NAGAR, BAGALKOT",bgkruralbgk@ksp.gov.in,8354-220460,Bagalkot Rural Circle,16.18101,75.69246
1,Bagalkot Town PS,NEAR LAXMI NAGAR BAGALKOT,bgktownbgk@ksp.gov.in,8354-220333,Bagalkot Town Circle,16.11725,75.65572
1,Bagalkot Traffic PS,"TAHASHILDAR OFFICE, BAGALKOT",bgktrafficbgk@ksp.gov.in,8354-221333,Bagalkot Town Circle,16.15986,75.67192
1,Bagalkot Women PS,"NEAR AMBEDKAR BHAVAN , NAVANAGARBAGALKOT DISTRICT",womanpsbgk@ksp.gov.in,8888-888888,Bagalkot Town Circle,16.1172535,75.655721
1,Banahatti PS,"NEAR SRA COLLEGE, BANAHATTI",banahattibgk@ksp.gov.in,8353-230292,Banahatti Circle,16.47713,75.12331
1,Bilagi PS,NEAR GOVT. HOSPITAL  BILAGI,bilagibgk@ksp.gov.in,8425-275233,Jamakhandi Sub-Division,16.34932,75.61225
1,Guledagudda PS,"NEAR KOTIKALL, GULEDAGUDD",guledgudbgk@ksp.gov.in,8357-250333,Badami Circle,16.04822,75.77413
1,Hungunda PS,"OPP. GOVT. HOSPITAL, HUNGUND",hungundpsbgk@ksp.gov.in,8351-260333,Hungunda Circle,16.0667,76.06036
1,Ilakal PS,"OPP. BUS STAND, ILKAL",ilkalbgk@ksp.gov.in,8351-270333,Hungunda Circle,15.9657,76.1117
1,Ilakal Rural PS,Opp. KSRTC Bus standIlakal,email@ksp.gov.in,8888-888888,Hungunda Circle,15.965689,76.111708
1,Jamakhandi Rural PS,"NEAR APMC, JAMAKHANDI",jkruralbgk@ksp.gov.in,8353-220623,Jamakhandi Circle,16.50946,75.28045
1,Jamakhandi Town PS,"KUDACHI ROAD, JAMAKHANDI",jktownbgk@ksp.gov.in,8353-220033,Jamakhandi Circle,16.51054,75.28063
1,Kaladagi PS,"NEAR BUS STAND, KALADAGI",kaladagibgk@ksp.gov.in,8354-240133,Bagalkot Rural Circle,16.20648,75.49732
1,Kerur PS,"HUBLI ROAD, KERUR",kerurbgk@ksp.gov.in,8357-230033,Badami Circle,16.0148,75.54766
1,Lokapur PS,"NEAR BUS STAND, LOKAPUR",lokapurbgk@ksp.gov.in,8350-240033,Mudhol Circle,16.09461,75.22018
1,Mahalingapur PS,"NEAR IB, MAHALINGAPUR",mahalingpurbgk@ksp.gov.in,8350-270033,Mudhol Circle,16.40214,75.10851
1,Mudhol PS,"NEAR SBI BANK, MUDHOL",mudholbgk@ksp.gov.in,8350-280133,Mudhol Circle,16.32991,75.28498
1,Navanagara PS,address,navnagarbgk@ksp.gov.in,8354-235323,Bagalkot Town Circle,16.15907,75.66154
1,Savalgi PS,"INFRONT OF POST OFFICE, SAVALAGI",savalagibgk@ksp.gov.in,8353-250033,Jamakhandi Circle,16.67259,75.34659
1,Teradal PS,"DEVARAJ NAGAR, TERDAL",terdalbgk@ksp.gov.in,8353-255133,Banahatti Circle,16.49547,75.05631
10,Jayapura PS,address,jayapurackm@ksp.gov.in,08265-245245,Koppa Circle,12.12169,76.3319
10,Koppa PS,"KOPPA POLICE STATION, KOPPA TOWN, CHICKMAGALU",koppackm@ksp.gov.in,08265-221027,Koppa Circle,12.70769,76.95723
11,Chitradurga CEN Crime PS,Chitradurga,email@ksp.gov.in,88888-888888,Chitradurga District,14.1332,76.2439
11,Chitradurga Extension PS,NH-4 (OLD HIMABINDU HOTEL) NEAR SAROJABAI KALYANACHITRADURGA,extentioncta@ksp.gov.in,9480803149,Chitradurga Town Circle,14.22844,76.41321
11,Chitrahalli Gate PS,"ChitrahalliHolalkere Tq, Chitradurga District",email@ksp.gov.in,88888-888888,Holalkere Circle,14.095852,76.272409
11,Srirampura PS,"HULIYAR ROAD, SRIRAMPURA - 577542",srirampuracta@ksp.gov.in,08199 - 242633,Hosadurga Circle,12.98999,77.56501
14,Bantwala Traffic PS,BantwalaDK,email@ksp.gov.in,88888-888888,Bantwala Circle,12.8662,75.05591
14,Bellare PS,Bellare VillageSullia Tq,bellaremaq@ksp.gov.in,08257-271995,Sullia Circle,12.6674,75.37149
14,Belthangadi PS,BELTHANGADY,belthangdymaq@karapolice.in,8256232093,Belthangadi Circle,12.98996,75.28273
14,Belthangadi Traffic PS,Laila Village and PostBelthangady Taluk,belthangadytrafficmaq@ksp.gov.in,88888-888888,Belthangadi Circle,12.989959,75.282734
14,Buntwala Rural PS,BANTWALA,bantwalarmaq@karpolice.in,8255235000,Bantwala Circle,12.53447,75.02427
14,Buntwala Town PS,BANTWALA,bantwalatmaq@karpolice.in,8255232111,Bantwala Circle,12.53447,75.02427
14,Dakshina Kannada Women PS,Dakshina Kannada,womenmaq@ksp.gov.in,88888-888888,Puttur Sub-Division,12.864272,74.833502
14,Dharmasthala PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Belthangadi Circle,12.57378,75.22225
14,DK CEN Crime PS,Dakshina Kannada,email@ksp.gov.in,88888-888888,Dakshina Kannada  District,12.860444,74.838601
14,Kadaba PS,KADABA,kadamaq@karpolice.in,08251 260044,Puttur Rural Circle,12.44539,75.28106
14,Punjalkatte PS,address,pkattemaq@ksp.gov.in,8256279375,Belthangadi Circle,12.5658,75.105
14,Puttur Rural PS,SAMPYA,putturrmaq@karpolice.in,08251 232102,Puttur Rural Circle,12.43468,75.13131
14,Puttur Town PS,PUTTUR,putturtownmaq@karpolice.in,8251230555,Puttur Sub-Division,12.7597,75.201
14,Puttur Traffic PS,address,putturtrafficmaq@karpolice.in,8251238500,Puttur Sub-Division,12.76443,75.19703
14,Subramanya PS,SUBRAMANYA,subramanyamaq@karpolice.in,8257281250,Sullia Circle,12.6628,75.6
14,Sullia PS,SULLIA,sulliamaq@karpolice.in,8257230337,Sullia Circle,12.55642,75.39288
14,Uppinangadi PS,UPPINANGADY,uppinangadymaq@karpolice.in,8251251055,Puttur Rural Circle,12.83946,75.24823
14,Venoor PS,VENUR,veenoormaq@karpolice.in,8256286232,Belthangadi Circle,13.01261,75.13919
14,Vitla PS,VITTLA,vittalmaq@karpolice.in,8255239233,Bantwala Circle,12.76336,75.10161
15,Azad Nagar PS,"Maganahalli Road, AzadNagara, Davangere-57700",azadnagardvg@ksp.gov.in,08192-272010,Davanagere North Circle,14.4809,75.92535
15,Basavanagara PS,"Vasantha theatre Road, Near subjail, Old Dava",basavanagardvg@ksp.gov.in,08192-272009,Davanagere City Sub-Division,14.46922,75.91843
15,Basavapatna PS,"Basavapatna PS, Sagarpete,  Channagiri Taluk,",basavapatnadvg@ksp.gov.in,08180-272463,Channagiri Circle,14.20629,75.81712
15,Bilichodu PS,"Bilichodu PS, Jagalur road, Bilichodu post,",bilichodudvg@ksp.gov.in,08196-248244,Jagalur Circle,14.50458,76.1603
15,Channagiri PS,"Behind Busstand, Channagiri, Davangere Dist-5",Channagiridvg@ksp.gov.in,08189-228133,Channagiri Circle,14.02309,75.92885
15,Davanagere CEN Crime PS,DSBDavanagere,email@ksp.gov.in,88888-888888,Davanagere District,14.45942,75.91538
15,Davanagere Extention PS,"PJ Extn. , Old court road, Near Govt. High sc",extndvg@ksp.gov.in,08192-272012,Davanagere City Sub-Division,14.46482,75.91984
