district_id,district,police_station_name,taluk
524,Bagalkote,Amengad PS,
524,Bagalkote,Badami PS,Badami
524,Bagalkote,Bagalkot CEN Crime PS,Bagalkot
524,Bagalkote,Bagalkot Rural PS,Bagalkot
524,Bagalkote,Bagalkot Town PS,Bagalkot
524,Bagalkote,Bagalkot Traffic PS,Bagalkot
524,Bagalkote,Bagalkot Women PS,Bagalkot
524,Bagalkote,Bagalkote DCRE PS,Bagalkot
524,Bagalkote,Banahatti PS,
524,Bagalkote,Bilagi PS,
524,Bagalkote,Guledagudda PS,
524,Bagalkote,Hungunda PS,Hungund
524,Bagalkote,Ilakal PS,
524,Bagalkote,Ilakal Rural PS,
524,Bagalkote,Jamakhandi Rural PS,
524,Bagalkote,Jamakhandi Town PS,
524,Bagalkote,Kaladagi PS,
524,Bagalkote,Kerur PS,
524,Bagalkote,Lokapur PS,
524,Bagalkote,Mahalingapur PS,
524,Bagalkote,Mudhol PS,Mudhol
524,Bagalkote,Navanagara PS,
524,Bagalkote,Savalgi PS,
524,Bagalkote,Teradal PS,
528,Ballari,APMC Yard PS,
528,Ballari,Ballari CEN Crime PS,Ballari
528,Ballari,Ballari DCRE PS,Ballari
528,Ballari,Ballari Women PS,Ballari
528,Ballari,Bellary Rural PS,
528,Ballari,Bellary Traffic PS,
528,Ballari,Brucepet PS,
528,Ballari,Cowlbazar PS,
528,Ballari,Gadiganur PS,
528,Ballari,Gandhinagar PS,
528,Ballari,Hatcholli PS,
528,Ballari,Kampli PS,Kampli
528,Ballari,Kuduthini PS,
528,Ballari,Kurugod PS,
528,Ballari,Moka PS,
528,Ballari,P.D. Halli PS,
528,Ballari,Sandur PS,Sandur
528,Ballari,Sirigeri PS,
528,Ballari,Siruguppa PS,Siruguppa
528,Ballari,Tekkalkota PS,
528,Ballari,Thoranagal PS,
527,Belagavi,APMC Yard PS,
527,Belagavi,Agali PS,
527,Belagavi,Ankalgi PS,
527,Belagavi,Ankali PS,
527,Belagavi,Athani PS,
527,Belagavi,Bagewadi PS,
527,Belagavi,Bailahongal PS,
527,Belagavi,Basaweshwar Chowk PS,
