village_id,village_name,taluk_id,taluk_name,district_id,district_name,gp_id,gp_name,police_station_name,latitude,longitude
598827,Achanur,5447,Bagalkot,524,Bagalkote,215183.0,Bel-Kerur,Ilakal Rural PS,15.966099,76.129078
598748,Adagal,5446,Badami,524,Bagalkote,215148.0,Adagal,Amengad PS,16.03916,75.92608
598944,Adihal,5448,Hungund,524,Bagalkote,215232.0,Dhannur,Ilakal Rural PS,15.961929,76.100918
598464,Adihudi,5443,Jamkhandi,524,Bagalkote,273113.0,Adihudi,Badami PS,15.913001,75.688506
598647,Agasarakoppa,5446,Badami,524,Bagalkote,215158.0,Huligeri,Hungunda PS,16.0796,76.07513
598558,Akkimaradi,5445,Mudhol,524,Bagalkote,215305.0,Nagaral,Jamakhandi Rural PS,16.52617,75.28546
598713,Aladakatti,5446,Badami,524,Bagalkote,215173.0,Mutalgeri,Bagalkot CEN Crime PS,16.174705,75.68086
598588,Alagundi(B.K),5445,Mudhol,524,Bagalkote,215299.0,Machaknur,Banahatti PS,16.48959,75.12887
598433,Alagur,5443,Jamkhandi,524,Bagalkote,215254.0,Algur,Hungunda PS,16.07416,76.04656
598429,Albal,5443,Jamkhandi,524,Bagalkote,215279.0,Muttur,Ilakal Rural PS,15.956039,76.116968
598510,Algundi,5444,Bilgi,524,Bagalkote,215207.0,Chikkalagundi,Ilakal Rural PS,15.948309,76.112638
598672,Allur. S.P.,7061,Guledgudda,524,Bagalkote,215153.0,Haldur,Bagalkot Traffic PS,16.15445,75.67831
598815,Alur,5447,Bagalkot,524,Bagalkote,215199.0,Rampur,Bagalkot Traffic PS,16.17162,75.68634
598724,Alur .S.K.,5446,Badami,524,Bagalkote,273085.0,Alur-Sk,Mudhol PS,16.34817,75.28933
598473,Amalzari,5444,Bilgi,524,Bagalkote,215223.0,Yadahalli,Bagalkot Town PS,16.12323,75.66852
598955,Amarawadgi,7062,Ilkal,524,Bagalkote,215244.0,Karadi,Amengad PS,16.04132,75.93033
598975,Amarawati,5448,Hungund,524,Bagalkote,215224.0,Amarawati,Bagalkot Traffic PS,16.1704,75.66976
598872,Amblikoppa,5448,Hungund,524,Bagalkote,215248.0,Mugnoor,Bagalkot Town PS,16.11341,75.67377
599027,Aminagad (Ct),5448,Hungund,524,Bagalkote,,,Mahalingapur PS,16.38507,75.09839
598782,Anadinni,5447,Bagalkot,524,Bagalkote,215203.0,Yadahalli,Bilagi PS,16.35064,75.59504
598541,Anagawadi,5444,Bilgi,524,Bagalkote,215204.0,Anagwadi,Guledagudda PS,16.05549,75.75773
598769,Anantagiri,5446,Badami,524,Bagalkote,215157.0,Hosur,Guledagudda PS,16.05235,75.7871
598952,Anapakatti,5448,Hungund,524,Bagalkote,273108.0,Havaragi,Mudhol PS,16.3445,75.2838
598636,Anawal,5446,Badami,524,Bagalkote,215149.0,Anawal,Badami PS,15.907501,75.690366
598792,Andamuranal,5447,Bagalkot,524,Bagalkote,215192.0,Kadampur,Savalgi PS,16.66009,75.35915
598773,Ankalagi,5447,Bagalkot,524,Bagalkote,215194.0,Khajidoni,Amengad PS,16.06498,75.95762
598593,Antapur,5445,Mudhol,524,Bagalkote,273119.0,Baragi,Banahatti PS,16.46514,75.10807
598515,Arakeri,5444,Bilgi,524,Bagalkote,215205.0,Arakeri,Hungunda PS,16.05928,76.04069
598673,Asangi,7061,Guledgudda,524,Bagalkote,215169.0,Layadgundi,Savalgi PS,16.68736,75.34995
598407,Asangi,7063,Rabakavi Banahatti,524,Bagalkote,215255.0,Asangi,Ilakal PS,15.96154,76.12667
598741,Bachinagudd,5446,Badami,524,Bagalkote,215180.0,Pattadkal,Guledagudda PS,16.05515,75.76929
598502,Badagandi,5444,Bilgi,524,Bagalkote,273101.0,Badagandi,Ilakal Rural PS,15.960079,76.093388
598750,Badami (Rural) *,5446,Badami,524,Bagalkote,215148.0,Adagal,Amengad PS,16.05908,75.92859
598530,Badardinni,5444,Bilgi,524,Bagalkote,215212.0,Honnihal,Kerur PS,16.00199,75.55328
598490,Badgi,5444,Bilgi,524,Bagalkote,215206.0,Badagi,Ilakal PS,15.95593,76.11936
598607,Badnur,5445,Mudhol,524,Bagalkote,215286.0,Bantnur,Mudhol PS,16.34795,75.2878
598844,Bagalkot (Rural),5447,Bagalkot,524,Bagalkote,,,Jamakhandi Rural PS,16.49689,75.29366
599016,Balakundi,7062,Ilkal,524,Bagalkote,215226.0,Balkundi,Bagalkot Women PS,16.135094,75.669391
598494,Ballur,5444,Bilgi,524,Bagalkote,215222.0,Teggi,Bagalkot Rural PS,16.1644,75.67534
598632,Bandakeri,5446,Badami,524,Bagalkote,215158.0,Huligeri,Hungunda PS,16.05978,76.05624
598411,Bandigani,7063,Rabakavi Banahatti,524,Bagalkote,273118.0,Yallatti,Bagalkot Women PS,16.125204,75.640471
598414,Banhatti (Rural),7063,Rabakavi Banahatti,524,Bagalkote,215267.0,Jagdal,Amengad PS,16.04976,75.96541
598718,Bankaneri,5446,Badami,524,Bagalkote,273092.0,Narasapur,Bagalkot Rural PS,16.18095,75.70395
598783,Bannidinni,5447,Bagalkot,524,Bagalkote,215196.0,Murnal,Bagalkot CEN Crime PS,16.142865,75.66898
598940,Bannihatti,5448,Hungund,524,Bagalkote,273109.0,Hire Badawadagi,Navanagara PS,16.17304,75.66295
598585,Baragi,5445,Mudhol,524,Bagalkote,273119.0,Baragi,Banahatti PS,16.46376,75.1391
598867,Basarikatti,5448,Hungund,524,Bagalkote,215248.0,Mugnoor,Bagalkot Town PS,16.13109,75.65661
598812,Basavanagar,5447,Bagalkot,524,Bagalkote,273100.0,Timmapur,Ilakal PS,15.97411,76.12316
598871,Basawanal,5448,Hungund,524,Bagalkote,215248.0,Mugnoor,Bagalkot Town PS,16.11125,75.66884
598538,Bavalatti,5444,Bilgi,524,Bagalkote,273102.0,Budihal-Sh,Jamakhandi Rural PS,16.50687,75.28694
598736,Bedarabudihal,5446,Badami,524,Bagalkote,215155.0,Hansanur,Banahatti PS,16.49209,75.11977
598726,Beeranur,5446,Badami,524,Bagalkote,273085.0,Alur-Sk,Mudhol PS,16.33809,75.27927
598524,Beerkabbi,5444,Bilgi,524,Bagalkote,215214.0,Kandagal,Mahalingapur PS,16.42113,75.09334
598972,Bekamaladinni,5448,Hungund,524,Bagalkote,215228.0,Binjawadgi,Bilagi PS,16.36906,75.61051
598550,Belagali,5445,Mudhol,524,Bagalkote,,,Bilagi PS,16.33789,75.61923
598717,Belawalakoppa,5446,Badami,524,Bagalkote,273092.0,Narasapur,Bagalkot Rural PS,16.19122,75.67674
598922,Belgal,5448,Hungund,524,Bagalkote,215227.0,Belgal,Banahatti PS,16.46134,75.12675
598641,Bellikindi,5446,Badami,524,Bagalkote,273089.0,Kainakatti,Amengad PS,16.05865,75.93278
598766,Belur,5446,Badami,524,Bagalkote,215150.0,Belur,Bagalkot CEN Crime PS,16.177385,75.67127
598982,Benakanadoni,7062,Ilkal,524,Bagalkote,215229.0,Budihal S.K.,Guledagudda PS,16.06126,75.77616
598893,Benakanavari,7062,Ilkal,524,Bagalkote,215230.0,Chikkanal,Hungunda PS,16.07839,76.04381
598857,Benakatti,5447,Bagalkot,524,Bagalkote,215184.0,Benakatti,Jamakhandi Rural PS,16.49009,75.26646
598823,Bennur,5447,Bagalkot,524,Bagalkote,215185.0,Bennur,Jamakhandi Town PS,16.51337,75.26824
598876,Bevinal,5448,Hungund,524,Bagalkote,215237.0,Hire-Magi,Lokapur PS,16.11365,75.21749
598931,Bevinamatti,5448,Hungund,524,Bagalkote,215251.0,Rakkasagi,Banahatti PS,16.49544,75.12978
598860,Bevinamatti-S.Haveli,5447,Bagalkot,524,Bagalkote,273093.0,Bevinamatti-S.H,Bagalkot Town PS,16.12894,75.65418
598853,Bevoor,5447,Bagalkot,524,Bagalkote,215186.0,Bevoor,Kaladagi PS,16.20524,75.51698
598740,Bhadra Nayakan Jalihal,5446,Badami,524,Bagalkote,215180.0,Pattadkal,Guledagudda PS,16.04429,75.75944
598847,Bhagavati,5447,Bagalkot,524,Bagalkote,215182.0,Bagavati,Ilakal PS,15.95682,76.09306
598856,Bhairamatti,5447,Bagalkot,524,Bagalkote,215189.0,Hallur,Mahalingapur PS,16.3892,75.12031
598605,Bhantnur,5445,Mudhol,524,Bagalkote,215286.0,Bantnur,Mudhol PS,16.34233,75.28549
598896,Bhimanagad,7062,Ilkal,524,Bagalkote,215230.0,Chikkanal,Hungunda PS,16.07362,76.04048
598472,Bidari,5443,Jamkhandi,524,Bagalkote,215256.0,Bidari,Ilakal Rural PS,15.954519,76.106648
598592,Bidri,5445,Mudhol,524,Bagalkote,273119.0,Baragi,Banahatti PS,16.48236,75.12858
598499,Bilgi (Rural),5444,Bilgi,524,Bagalkote,215217.0,Korti,Savalgi PS,16.67304,75.3539
598828,Bilkerur,5447,Bagalkot,524,Bagalkote,215183.0,Bel-Kerur,Ilakal Rural PS,15.967539,76.096188
598976,Binjawadgi,5448,Hungund,524,Bagalkote,215228.0,Binjawadgi,Bilagi PS,16.35595,75.63158
598915,Bisaladinni,5448,Hungund,524,Bagalkote,273106.0,Bisaladinni,Lokapur PS,16.1086,75.23722
598546,Bisanal,7063,Rabakavi Banahatti,524,Bagalkote,215295.0,Kesarkoppa,Bagalkot Town PS,16.09998,75.6728
598921,Bisanalkoppa,5448,Hungund,524,Bagalkote,215227.0,Belgal,Banahatti PS,16.46653,75.13234
598483,Bisnal,5444,Bilgi,524,Bagalkote,215222.0,Teggi,Bagalkot Rural PS,16.16748,75.67481
598852,Bodanayakdinni,5447,Bagalkot,524,Bagalkote,273100.0,Timmapur,Ilakal PS,15.96704,76.12967
598837,Bommanagi,5447,Bagalkot,524,Bagalkote,273094.0,Chikkamyageri,Bagalkot Traffic PS,16.17859,75.67667
598600,Bommanbudni,5445,Mudhol,524,Bagalkote,215303.0,Metagud,Ilakal PS,15.94754,76.10054
598669,Budanagad,7061,Guledgudda,524,Bagalkote,215153.0,Haldur,Bagalkot Traffic PS,16.16609,75.66994
598540,Budhihal(S.H),5444,Bilgi,524,Bagalkote,273102.0,Budihal-Sh,Jamakhandi Rural PS,16.5149,75.28367
598758,Budihal,5446,Badami,524,Bagalkote,215164.0,Kataraki,Kerur PS,16.02195,75.53336
598875,Budihal (Inam),5448,Hungund,524,Bagalkote,215237.0,Hire-Magi,Lokapur PS,16.09393,75.21303
598981,Budihal (S.K.),7062,Ilkal,524,Bagalkote,215229.0,Budihal S.K.,Guledagudda PS,16.0402,75.77886
598874,Budihal (S.K.),5448,Hungund,524,Bagalkote,215248.0,Mugnoor,Bagalkot Town PS,16.10109,75.65353
598482,Budihal(S.G.),5444,Bilgi,524,Bagalkote,215206.0,Badagi,Ilakal PS,15.9608,76.09407
598449,Budni,5443,Jamkhandi,524,Bagalkote,215276.0,Linagnoor,Guledagudda PS,16.04209,75.76936
598589,Budni (B.K.),5445,Mudhol,524,Bagalkote,215299.0,Machaknur,Banahatti PS,16.49432,75.13135
