crime_id,crime_datetime,time_slot,district_id,district,taluk_id,taluk,gp_id,gram_panchayat,village_id,village,police_station_name,crime_latitude,crime_longitude,crime_category,crime_type,crime_severity,hotspot_score,victim_age,victim_gender,accused_id,accused_age,accused_gender,fir_registered,case_status,cctv_available,response_time_minutes
CR000001,2024-09-10 07:16:41,Night,548,Tumakuru,5535,Madhugiri,220229.0,Doddayalkuru,610896,Doddayalkur,Handanakere PS,13.491798,76.430951,Crime Against Women,Sexual Harassment,High,6,28,Female,ACC00292,54,Male,Yes,Pending Trial,No,17
CR000002,2025-07-08 09:48:07,Morning,533,Chitradurga,5504,Challakere,217026.0,Gowdagere,605248,Gowdagere,Chitradurga Extension PS,14.220365,76.415437,Economic Crime,Forgery,Medium,48,31,Female,ACC112361,21,Female,Yes,Closed,Yes,51
CR000003,2026-01-25 13:43:24,Night,525,Bengaluru Urban,5543,Bengaluru South,,Unknown,938409,Koramangala,Pulakeshinagar Traffic PS,12.601263,77.365101,Violent Crime,Robbery,Critical,73,69,Female,ACC990575,32,Female,Yes,Pending Trial,Yes,7
CR000004,2026-06-07 21:32:46,Night,738,Vijayanagara,5502,Kudligi,216222.0,Gandabommanahalli,605104,J.B.Halli,Cowlbazar PS,15.14064,76.90708,Property Crime,House Burglary,Medium,48,29,Male,ACC187272,50,Female,No,Charge Sheet Filed,No,48
CR000005,2025-09-09 00:30:05,Evening,535,Davanagere,5514,Channagiri,217434.0,Kerebilachi,606972,Kerebilachi,Harihara Rural PS,14.524677,75.814869,Cyber Crime,UPI Fraud,Medium,64,56,Female,ACC00268,59,Male,Yes,Pending Trial,Yes,27
CR000006,2026-01-17 03:47:11,Night,530,Vijayapura,5453,Muddebihal,216627.0,Yarazari,599618,Nagaral,Kalkeri PS,16.672175,76.313913,Cyber Crime,Phishing,Medium,47,56,Female,ACC166387,28,Female,Yes,Pending Trial,Yes,53
CR000007,2025-10-22 23:01:38,Night,533,Chitradurga,5505,Chitradurga,272695.0,Godabanahal,605610,Pandarahalli,Chitrahalli Gate PS,14.089078,76.286394,Rural Crime,Crop Theft,Medium,79,75,Male,ACC578759,60,Male,No,Under Investigation,Yes,23
CR000008,2026-06-10 23:39:15,Afternoon,540,Haveri,5492,Haveri,218519.0,Agadi,604235,Agadi,Ranebennur Town PS,14.637825,75.638589,Rural Crime,Cattle Theft,Medium,66,41,Male,ACC082764,27,Female,Yes,Closed,Yes,31
CR000009,2025-10-25 04:09:53,Afternoon,531,Chamarajanagar,5576,Gundlupet,216710.0,Agathagowdanahalli,619472,Chikanapura,Chamarajanagar Traffic PS,11.913663,76.920938,Public Order,Illegal Liquor,Medium,53,24,Female,ACC00158,42,Female,Yes,Under Investigation,No,56
CR000010,2024-09-20 09:52:30,Evening,527,Belagavi,5438,Belagavi,215721.0,Thumergudi,948374,Janewadi,Sankeshwar PS,16.270385,74.4765,Economic Crime,Financial Fraud,Medium,86,28,Male,ACC00471,70,Male,Yes,Closed,Yes,35
CR000011,2025-10-10 16:23:36,Night,532,Chikkamagaluru,5529,Kadur,216844.0,Bislere,609454,G.Jakkanahalli,Jayapura PS,12.121083,76.330973,Public Order,Rioting,Medium,25,56,Male,ACC00153,29,Male,Yes,Closed,No,39
CR000012,2025-10-21 20:14:18,Evening,548,Tumakuru,5536,Koratagere,220176.0,Tumbadi,611064,Kambadahalli,Tumkur Traffic PS,13.348795,77.109174,Cyber Crime,Phishing,Medium,100,56,Male,ACC819702,32,Male,No,Closed,Yes,49
CR000013,2024-07-27 14:08:03,Evening,539,Hassan,5560,Channarayapatna,218347.0,Juttanahalli,617418,Chalya,Channarayapatna Traffic PS,12.909378,76.383659,Economic Crime,Forgery,Medium,69,51,Male,ACC724528,63,Female,No,Closed,No,55
CR000014,2024-11-28 15:10:46,Late Night,544,Mandya,5546,Krishnarajpet,219208.0,Alambadi Kaval,613511,Guduganahalli,Besagaraghalli PS,12.649543,77.010996,Property Crime,Vehicle Theft,Medium,27,35,Male,ACC632490,32,Female,Yes,Under Investigation,Yes,45
CR000015,2025-10-25 20:11:44,Evening,529,Bidar,5455,Bhalki,272856.0,Enikoora,599934,Nawadgi,Bhalki Rural PS,18.053061,77.211422,Public Order,Illegal Liquor,Medium,64,63,Female,ACC00393,18,Female,Yes,Pending Trial,Yes,60
CR000016,2024-12-25 06:48:24,Evening,539,Hassan,5559,Hole Narsipur,218429.0,Odanahalli,616951,Cholenahalli,Holenarasipura Rural PS,12.767401,76.237537,Violent Crime,Assault,Critical,77,18,Male,ACC00457,39,Female,Yes,Closed,No,8
CR000017,2026-03-22 21:50:08,Afternoon,630,Chikkaballapura,5596,Chikkaballapura,218834.0,Hosa Hudya,623672,Jathavara,Nandi Giridhama PS,13.37884,77.681219,Rural Crime,Sand Mining,Medium,47,21,Female,ACC001731,55,Male,Yes,Pending Trial,Yes,51
CR000018,2025-05-19 16:16:27,Night,533,Chitradurga,5504,Challakere,217015.0,Belagere,605410,Belagere,Chitrahalli Gate PS,14.09734,76.254715,Public Order,Illegal Liquor,Medium,24,33,Female,ACC00470,25,Male,Yes,Closed,Yes,58
CR000019,2026-01-12 15:47:41,Night,548,Tumakuru,5537,Tumakuru,220385.0,Siravara,611495,Bommanahalli,Arasikere PS,14.687705,76.056265,Cyber Crime,Phishing,Medium,56,78,Male,ACC00269,57,Female,Yes,Closed,No,33
CR000020,2026-03-02 23:37:49,Night,526,Bengaluru Rural,5602,Doddaballapura,215467.0,Melekote,625055,Chikkarayappanahalli,Sulibele PS,13.171284,77.816886,Property Crime,Vehicle Theft,Medium,41,19,Male,ACC058915,45,Male,No,Pending Trial,Yes,48
