village_id,gp_id,gp_name
597114,215779,Appachiwadi
597115,215779,Appachiwadi
597116,215779,Appachiwadi
597117,215813,Kurli
597118,215813,Kurli
597120,215810,Koganolli
597121,215810,Koganolli
597122,215776,Adi
597123,215784,Benadi
597124,215784,Benadi
597125,215777,Akkol
597126,215814,Lakhanapur
597127,215814,Lakhanapur
597128,215799,Jathrat
597129,215776,Adi
597130,215834,Soundalga
597131,215839,Yamagarani
597132,215839,Yamagarani
597133,215834,Soundalga
597134,215839,Yamagarani
597135,215809,Kodani
597136,215809,Kodani
597137,215832,Shiraguppi
597138,215832,Shiraguppi
597139,215832,Shiraguppi
597140,215829,Shendur
597141,215829,Shendur
597142,215840,Yarnal
597144,215840,Yarnal
597145,215840,Yarnal
597146,215840,Yarnal
597147,215817,Manakapur
597148,215817,Manakapur
597149,273233,Doniwadi
597151,273233,Doniwadi
597152,215815,Malikawad
597153,215798,Janwad
597154,215830,Shiradawad
597155,215805,Kardaga
597156,215781,Barwad
597157,215818,Mangur
597158,215812,Kunnur
597159,215812,Kunnur
597160,215812,Kunnur
597161,215785,Bhoj
597162,215794,Hunnaragi
597163,215833,Sidnal
597164,215816,Mamadapur
597165,215791,Galataga
597166,215791,Galataga
597167,215791,Galataga
597168,215782,Bedkihal
597169,215828,Shamanewadi
597170,215826,Nej
597171,215821,Nagaral
597172,215824,Nanadi
597173,215824,Nanadi
597174,215815,Malikawad
597176,215803,Kallol
597178,215838,Yadoor
597179,215787,Chandur
597180,215787,Chandur
597181,215838,Yadoor
597182,215838,Yadoor
597183,215795,Ingali
597184,215819,Manjari
597186,215778,Ankali
597187,215778,Ankali
597188,215802,Kadapur
597189,215800,Jodakurali
597190,215807,Kerur
597191,215807,Kerur
597192,215793,Hirekodi
597193,215789,Chinchani
597194,215789,Chinchani
597195,215831,Shiragoan
597196,215831,Shiragoan
597197,215831,Shiragoan
597198,215808,Khadaklat
597199,215808,Khadaklat
597200,215788,Chikkalawal
597201,215788,Chikkalawal
597202,215788,Chikkalawal
597203,215808,Khadaklat
597204,215825,Navalihal
597205,215825,Navalihal
597206,215808,Khadaklat
597207,215827,Pattankudi
597208,215837,Walaki
597209,215823,Nainglaj
597210,215823,Nainglaj
597211,215823,Nainglaj
597212,215825,Navalihal
597213,215811,Kothali
597214,215789,Chinchani
597215,215789,Chinchani
597216,215835,Umarani
597217,215835,Umarani
597218,215822,Nagarmunoli
597219,215783,Belakud
597220,215780,Bambalawad
597221,215780,Bambalawad
597222,215806,Karoshi
597223,215797,Jainapur
597224,215797,Jainapur
597225,215792,Hattarawat
597226,215792,Hattarawat
597227,215792,Hattarawat
597228,215836,Vadral
597229,215836,Vadral
597230,215836,Vadral
597231,215820,Mugali
597232,215820,Mugali
597233,215780,Bambalawad
597234,215804,Karagaon
597235,215804,Karagaon
597236,215804,Karagaon
597237,215822,Nagarmunoli
597242,215796,Jagnur
597243,215796,Jagnur
597244,215796,Jagnur
597245,215796,Jagnur
597246,215665,Shirur
597247,215638,Khelegaon
597248,215638,Khelegaon
597249,215623,Ananthpur
597250,215646,Malabad
597251,215646,Malabad
597252,215655,Sambaragi
597253,215655,Sambaragi
597254,215665,Shirur
597255,215655,Sambaragi
597256,215624,Aralihatti
597257,215624,Aralihatti
597258,273222,Jakkaratti
597259,273222,Jakkaratti
597260,215631,Jambagi
597261,215631,Jambagi
597262,215628,Gundewadi
597263,215626,Balligeri
597264,215628,Gundewadi
597265,215631,Jambagi
597266,215644,Madhabhavi
597267,215644,Madhabhavi
597268,273225,Siddewadi
597269,215631,Jambagi
597270,215654,Parthanahalli
597271,215654,Parthanahalli
597272,215654,Parthanahalli
597273,215654,Parthanahalli
597274,273221,Chamkeri
597275,273221,Chamkeri
597277,215632,Jugul
597278,215632,Jugul
597279,215632,Jugul
597280,215663,Shiraguppi
597281,215643,Kusnal
597282,215643,Kusnal
597283,215668,Ugar B K
597287,215647,Mangasuli
597288,215647,Mangasuli
597289,215637,Kempawad
597290,215637,Kempawad
597291,215637,Kempawad
597292,215648,Mole
597293,215648,Mole
597295,215642,Krishna Kittur
597296,215642,Krishna Kittur
597297,215649,Muragundi
597298,215649,Muragundi
597299,215656,Athani (Grameen)
597300,215656,Athani (Grameen)
597301,215666,Tangadi
597302,215666,Tangadi
597303,215656,Athani (Grameen)
597304,215630,Hulagabali
597305,215650,Nadi Ingalagaon
597306,215657,Saptasagar
597307,215657,Saptasagar
597308,215657,Saptasagar
597309,215627,Darur
597310,215629,Halyal
597311,215651,Naganur P K
597312,215651,Naganur P K
597313,215660,Shankaratti
597314,215660,Shankaratti
597315,215662,Shegunashi
597316,215651,Naganur P K
597317,215658,Satti
597318,273224,Radderahatti
597319,215653,Nandeshwar
597320,215645,Maheshwadi
597321,215645,Maheshwadi
597322,215659,Savadi
597323,273223,Kannala
597324,215635,Kakamari
597325,215641,Kottalagi
597326,273223,Kannala
597327,215667,Telsang
597328,273223,Kannala
597329,215621,Aigali
597330,215621,Aigali
597331,215639,Kohalli
597332,215639,Kohalli
597333,215620,Adahalli
597334,215620,Adahalli
597335,215670,Yeli Hadagali
597336,215670,Yeli Hadagali
597337,273220,Badachi
597338,273220,Badachi
597339,273220,Badachi
597340,215625,Aratal
597341,215625,Aratal
597342,215625,Aratal
597343,215640,Kokatanur
597344,215636,Katageri
597345,215640,Kokatanur
597346,215636,Katageri
597347,215636,Katageri
597348,215636,Katageri
597349,215652,Nandagaon
597350,215652,Nandagaon
597351,215664,Shirahatti
597352,215664,Shirahatti
597353,215633,Junjarwadi
597354,273226,Suttatti
597355,216102,Savadatti
597356,216079,Diggewadi
597357,262923,Jalalpur
597358,216076,Bhirdi
597360,216101,Raibag(R)
597361,216101,Raibag(R)
597362,274439,Yadrav
597363,216095,Nasalapur
597364,216094,Nandikurli
597365,274151,Kempatti
597366,216091,Mekhali
597367,216091,Mekhali
597368,216083,Hubbarwadi
597369,216083,Hubbarwadi
597370,216091,Mekhali
597371,216083,Hubbarwadi
597372,216096,Nidgundi
597373,216077,Byakud
597374,216077,Byakud
597375,216077,Byakud
597376,216075,Bendwad
597377,216075,Bendwad
597378,216075,Bendwad
597379,216075,Bendwad
597380,277523,Mantur
597381,216098,Nipnal
597383,216090,Kudachi(R)
597384,216104,Sirgur
597385,216104,Sirgur
597386,216100,Parmanandwadi
597387,216088,Khemlapur
597388,275455,Yalparatti
597389,273244,Siddapura
597390,216089,Koligudda
597391,273245,Yabaratti
597394,216073,Alaknoor
597395,216097,Niliji
597396,276042,Sutatti
597397,216092,Morab
597398,216074,Bekkeri
597399,216096,Nidgundi
597400,216072,Alagwadi
597401,216072,Alagwadi
