"X","Y","fid","osm_id","code","fclass","population","name"
"78.0508039","11.531861","130","245594398","1002","town","0","Attayampatti"
"76.4403012","11.5438458","131","245594831","1003","village","0","Devarshola"
"77.5886003","11.575293","132","245595343","1002","town","5000","Anthiyur"
"78.4992399","11.5708968","133","245595358","1003","village","4075","Malliakarai"
"76.08281","11.610278","134","245596484","1002","town","30000","Kalpetta"
"78.4131128","11.7069634","138","245598290","1003","village","0","Belur"
"77.7980929","11.7902463","140","245598417","1002","town","50000","Mettur"
"77.2280824","11.7567214","141","245598428","1004","hamlet","0","Gudiyur"
"78.2075392","11.7852074","142","245598638","1002","town","0","Yercaud"
"76.6916141","11.808496","144","245598696","1002","town","10000","Gundlupet"
"75.8550205","11.8334589","145","245598955","1003","village","5000","Periya"
"75.3360729","11.9235602","148","245599837","1003","village","10000","Azhikode"
"76.9393558","11.9238058","149","245599932","1002","town","10000","Chamarajanagara"
"76.2420858","11.9457754","150","245599938","1003","village","5000","Udbhuru"
"75.2859957","11.9672848","153","245601541","1003","village","5000","Mattul"
"75.3602841","12.0373542","155","245601884","1002","town","1000","Taliparamba"
"76.9811798","12.0454904","156","245601921","1003","village","0","Santemarahalli"
"75.5104585","12.0472242","157","245601929","1002","town","0","Sreekandapuram"
"77.3017969","12.0870315","158","245602267","1002","town","0","Hanur"
"77.0306546","12.0463301","159","245602307","1002","town","5000","Yelanduru"
"78.5904558","12.1020673","162","245602518","1003","village","0","Theerthamalai"
"75.1281569","12.250817","164","245602596","1002","town","10000","Nileshwaram"
"76.9480955","12.1300386","166","245602668","1003","village","5000","Muguru"
"76.6817502","12.1186851","167","245602738","1002","town","10000","Nanjanagudu"
"77.0736938","12.11511","168","245602893","1003","village","0","Agara"
"77.1462209","12.1549751","170","245603009","1003","village","0","Madhuvanahalli"
"77.1071726","12.1560966","171","245603249","1002","town","5000","Kollegal"
"75.410246","12.2920711","172","245603543","1003","village","0","Pulingom"
"76.554106","12.204282","173","245603605","1003","village","0","Jayapura"
"77.1469381","12.2418064","175","245604206","1003","village","0","Sattegala"
"77.965972","12.3096919","178","245605799","1003","village","0","Belluranhalli"
"76.0988013","12.3372494","179","245606031","1002","town","10000","Periyapatna"
"77.0589464","12.3864073","181","245606282","1002","town","35000","Malavalli"
"75.8319972","12.4528955","184","245606608","1003","village","0","Suntikoppa"
"75.2712507","12.4324673","185","245606719","1003","village","0","Kallar"
"76.3836699","12.438561","186","245606844","1002","town","10000","Krishnarajanagara"
"76.1017524","12.4705505","187","245606987","1003","village","5000","Bettadapura"
"78.0323496","12.5136509","188","245607252","1002","town","0","Rayakottai"
"75.3907575","12.5576644","189","245607359","1002","town","18000","Sulya"
"77.0401745","12.5104177","190","245607374","1003","village","0","Chikkarasinakere"
"77.2176977","12.5447299","191","245607442","1003","village","0","Kodambahalli"
"76.2628551","12.5601566","192","245607629","1002","town","7000","Saligrama"
"78.5797192","12.5643214","193","245607635","1002","town","10000","Jolarpet"
"75.8466865","12.5971883","194","245607925","1002","town","10000","Somwarpet"
"77.2176933","12.6045178","195","245607953","1003","village","0","Honganuru"
"77.85467","12.6053305","196","245608005","1002","town","0","Kelamangalam"
"76.4896194","12.6655205","197","245608408","1002","town","20000","Krishnarajapete"
"77.2042594","12.6544559","198","245608414","1002","town","60000","Channapattana"
"75.2129927","12.6532205","199","245608524","1003","village","0","Nidpalli"
"75.6131771","12.6677868","200","245608560","1002","town","0","Subramanya"
"78.6199879","12.6787174","201","245608828","1002","town","90000","Vaniyambadi"
"75.2621193","12.6707801","202","245608992","1003","village","0","Ariyadka"
"78.1944154","12.7017272","203","245609115","1002","town","0","Vepanapalli"
"77.6993972","12.7086373","204","245609200","1002","town","15000","Anekal"
"77.2804797","12.7252766","205","245609255","1002","town","80000","Ramanagara"
"74.8555375","12.7853663","206","245609576","1003","village","0","Someshwara"
"76.0623411","12.7627771","207","245610023","1002","town","15000","Arkalgud"
"75.4643661","12.7424865","208","245610040","1003","village","0","Kadaba"
"75.2018421","12.7632858","209","245610069","1002","town","40000","Puttur"
"76.2431266","12.7852158","210","245610098","1002","town","10000","Holenarasipura"
"74.8459375","12.8181202","211","245610394","1002","town","5000","Ullal"
"77.9707402","12.8052213","212","245610528","1003","village","0","Berikai"
"76.7542189","12.8196077","213","245610557","1002","town","15000","Nagamangala"
"76.0644435","12.8238999","214","245610999","1003","village","0","Gorur"
"77.7861352","12.8600866","215","245612139","1002","town","0","Sarjapura"
"76.4870114","12.858127","216","245612228","1002","town","9000","Shravanabelagola"
"75.4051349","12.8600733","217","245612638","1003","village","0","Kokkada"
"74.8430082","12.8698101","218","245612641","1001","city","500000","Mangaluru"
"76.576616","12.9498785","219","245614086","1003","village","0","Hirisave"
"78.2731252","12.9545994","220","245614133","1002","town","163643","Kolar Gold Fields"
"75.3813122","12.9519571","221","245614706","1003","village","0","Dharmasthala"
"77.2242281","12.9567353","222","245614962","1002","town","10000","Magadi"
"76.8614233","12.9767055","223","245615795","1003","village","5000","Edeyuru"
"75.2825052","12.9903521","224","245616106","1002","town","5000","Belthangadi"
"74.8801","12.9984","225","245616376","1003","village","0","Yekkaru"
"77.9393648","13.0058697","226","245616482","1002","town","5000","Maluru"
"78.3303624","13.0053979","227","245616527","1002","town","0","Bethamangala"
"75.1443252","13.0122097","228","245616714","1003","village","0","Venoor"
"75.7232902","13.0584352","231","245617183","1003","village","0","Hosahalli"
"77.244551","13.0719814","232","245617420","1003","village","0","Soluru"
"74.9977469","13.0699218","233","245617423","1002","town","25000","Moodabidri"
"74.7870474","13.0904094","234","245617692","1002","town","10000","Mulki"
"76.7557088","13.0792918","236","245617711","1003","village","0","Mayasandra"
"75.7953947","13.1284096","238","245618111","1003","village","0","Bellotte"
"76.3063432","13.1588838","239","245618313","1003","village","5000","Gandasi"
"78.0043951","13.1382537","240","245618402","1003","village","0","Narasapura"
"78.1337246","13.1367201","241","245618507","1001","city","140000","Kolar"
"76.6680675","13.1627196","243","245618753","1002","town","15000","Turuvekere"
"77.0333844","13.1539112","244","245618780","1003","village","5000","Hebburu"
"78.3927241","13.1660479","245","245618783","1002","town","40000","Mulabagilu"
"74.8739662","13.1685901","246","245618785","1003","village","0","Belman"
"75.8634851","13.1645671","247","245618812","1002","town","0","Belur"
"77.883706","13.1654407","248","245618826","1003","village","5000","Karappanahalli"
"75.0478833","13.1941048","249","245619016","1003","village","0","Miyyaru"
"75.7084399","13.2664657","250","245619063","1003","village","0","Vastare"
"74.9951861","13.2145414","251","245619070","1002","town","10000","Karkala"
"75.3582366","13.2322235","253","245619208","1002","town","0","Kalasa"
"76.223402","13.2474129","254","245619303","1003","village","0","Haranahalli"
"77.0925799","13.2929565","255","245619340","1003","village","5000","Guluru"
"75.7334255","13.2275798","256","245619369","1003","village","5000","Tirugana"
"75.4826707","13.2736671","257","245619508","1003","village","0","Magundi"
