village,latitude,longitude
Udbhuru,11.9457754,76.2420858
Santemarahalli,12.0454904,76.9811798
Muguru,12.1300386,76.9480955
Agara,12.11511,77.0736938
Madhuvanahalli,12.1549751,77.1462209
Jayapura,12.204282,76.554106
Sattegala,12.2418064,77.1469381
Suntikoppa,12.4528955,75.8319972
Bettadapura,12.4705505,76.1017524
Chikkarasinakere,12.5104177,77.0401745
Kodambahalli,12.5447299,77.2176977
Honganuru,12.6045178,77.2176933
Nidpalli,12.6532205,75.2129927
Ariyadka,12.6707801,75.2621193
Someshwara,12.7853663,74.8555375
Kadaba,12.7424865,75.4643661
Gorur,12.8238999,76.0644435
Kokkada,12.8600733,75.4051349
Hirisave,12.9498785,76.576616
Dharmasthala,12.9519571,75.3813122
Edeyuru,12.9767055,76.8614233
Yekkaru,12.9984,74.8801
Venoor,13.0122097,75.1443252
Hosahalli,13.0584352,75.7232902
Soluru,13.0719814,77.244551
Mayasandra,13.0792918,76.7557088
Bellotte,13.1284096,75.7953947
Gandasi,13.1588838,76.3063432
Narasapura,13.1382537,78.0043951
Hebburu,13.1539112,77.0333844
Belman,13.1685901,74.8739662
Karappanahalli,13.1654407,77.883706
Miyyaru,13.1941048,75.0478833
Vastare,13.2664657,75.7084399
Haranahalli,13.2474129,76.223402
Guluru,13.2929565,77.0925799
Tirugana,13.2275798,75.7334255
Magundi,13.2736671,75.4826707
Doddabelavangala,13.2888795,77.4215754
Kibbanahalli Cross,13.3108237,76.6555124
Joladalu,13.3265544,75.6971687
Perduru,13.3845418,74.903294
Banavara,13.409679,76.1615079
Muttinapura,13.4548098,75.7773611
Dodda Saggere,13.4692342,77.3511528
Someshwara,13.4907662,75.0675281
Saligrama,13.4977795,74.711256
Kanakatte,13.5150883,76.318222
Hariharapura,13.5205251,75.3017655
Santaveri,13.5176157,75.8053752
Dibburahalli,13.556807,77.9054207
Halady,13.5790156,74.863091
Lingadahalli,13.5969321,75.843819
Shankaranarayana,13.6058955,74.8600862
Bukkapattana,13.6519034,76.7482018
Shriramapura,13.6234131,76.4170728
Gudibande,13.6708525,77.7044291
Badavanahalli,13.6756456,77.0667006
Siddapura,13.6628449,74.9123708
Kodigenahalli,13.7203304,77.3859542
Ajjampura,13.7247567,76.0013261
Hosangadi,13.6981946,74.9628494
Kandadankere,13.7343319,76.2607709
Shivani,13.8173269,76.0312718
Arashinagundi,13.7210306,76.5536231
Patapalya,13.7547824,77.9470078
Jadkal,13.8029535,74.805218
Niragunda,13.7810179,76.1873539
Midigesi,13.8323524,77.2006265
Kaggi,13.8716858,75.9365062
Tattannagaripalli,13.8586569,77.9310856
Kollur,13.8634049,74.8137959
Rangapura,13.8591172,76.0862187
Uduvalli,13.88297,76.5819678
Shiroor,13.9131173,74.600754
Hebbu,13.9072595,74.9517349
Hosuru,13.8928506,76.7871338
Nagara,13.8236828,75.0328554
Kalluru,13.9242517,75.2724904
Baraguru,13.9348717,76.9804449
Ayanuru,14.0109821,75.4371898
Shirali,14.0287378,74.5278223
Kumsi,14.0546834,75.400134
Holaluru,14.0375849,75.6801772
Aimangala,14.0946288,76.5356708
Eraballi,14.1034422,76.6500806
Savalanga,14.1028957,75.5265
Chikkajajuru,14.1271672,76.1414501
Nyamati,14.1491131,75.576148
Manki,14.1912103,74.4760608
Tyavanige,14.2495518,75.8859901
Gerusoppa,14.2433775,74.6532531
Kasarakod,14.2436885,74.4494106
Parasurampura,14.2583426,76.8822367
Ulavi,14.2716118,75.109001
Yallappa Nayakana Hosakote,14.2808425,77.173969
Haladipura,14.3419135,74.4236866
Bilagi,14.3603464,74.7978983
Suntikoppa,14.3166038,74.9911155
Bharamasagara,14.3716034,76.1910867
Dodmane,14.3674324,74.6965356
Hadadi,14.3636422,75.8906875
Navilagona,14.3608573,74.436094
Turuvanuru,14.3996758,76.4388304
Anagodu,14.3948798,76.0436527
Mallapura,14.3920896,74.4688786
Tumminakatti,14.4122402,75.6195158
