village,latitude,longitude
Puthalapattu,13.3475231,79.0944011
Ananthapuram,13.1673168,79.2128484
Gopalapuram,13.1125855,79.3541555
Ammoor,12.9766261,79.3627129
Avudaiyalpuram,8.1967654,77.7673663
Thirparappu,8.3950009,77.2630865
Udangudi,8.4285429,78.0263978
Arumuganeri,8.569964,78.0956681
Vagaikkulam,8.5898027,77.6696461
Melacheval,8.6718741,77.6152217
Vikramasingapuram,8.7141792,77.3892867
Kurukkuchalai,8.9314342,78.0883164
Sevalpatti,9.1314962,78.351854
Sethu Karai,9.2490483,78.843145
Pudur,9.2943506,78.1357458
Paruvakkudi,9.2901706,77.5485206
Agastiarkuttam,9.3036696,78.9958348
Mudukulattur,9.3444333,78.5155232
Saminattam,9.48068,77.7272053
Kumarakom,9.5960545,76.4305378
R.S. Mangalam,9.6370191,78.8468952
Maharajapuram,9.6603953,77.6631941
CK Mangalam,9.7877433,78.8917624
S.P. Pattinam,9.7892737,79.0573025
Elumalai,9.8630653,77.6989606
Mangalakkudi,9.8647276,78.9597989
Tevaram,9.8971614,77.2797184
Thuvarankuruchi,10.3982261,79.3835528
Tagattur,10.4390271,79.704746
Pudu Chattram,10.4740048,77.7919804
Ayyalur,10.4845925,78.1566887
Eriyodu,10.5170962,78.0628395
Nemmara,10.59395,76.601439
Gujiliyamparai,10.6818121,78.1147237
Alundur,10.6863731,78.6123687
Palaiyam,10.7257994,78.1357037
Kamanaickenpalayam,10.9066883,77.219053
Kattupputtur,10.993744,78.2194801
Padalur,11.0924117,78.8271564
Attappadi,11.0750604,76.5655168
Anaikatti,11.1161249,76.7480411
Agali,11.1057095,76.6547629
Tiruvalaputtur,11.2038428,79.6173398
Valikandapuram,11.3178099,78.9194375
Thammampatti,11.4422457,78.4858502
C.Mutlur,11.4436588,79.7090573
Devarshola,11.5438458,76.4403012
Malliakarai,11.5708968,78.4992399
Elavanasur,11.7140679,79.1809613
Belur,11.7069634,78.4131128
Viraperumanallur,11.7758285,79.4433442
Madapattu,11.794203,79.4072467
Periya,11.8334589,75.8550205
Kattu Idaiyar,11.8500734,79.1406745
Azhikode,11.9235602,75.3360729
Udbhuru,11.9457754,76.2420858
Mattul,11.9672848,75.2859957
Manalurpettai,12.0079588,79.0876281
Santemarahalli,12.0454904,76.9811798
Thanipadi,12.1060143,78.8332594
Kiliyanur,12.1058085,79.7459576
Theerthamalai,12.1020673,78.5904558
Vettavalam,12.1102546,79.2454016
Muttatur,12.1133501,79.445403
Muguru,12.1300386,76.9480955
Agara,12.11511,77.0736938
Mailam,12.1275479,79.6185988
Madhuvanahalli,12.1549751,77.1462209
Pulingom,12.2920711,75.410246
Jayapura,12.204282,76.554106
Sattegala,12.2418064,77.1469381
Pachchal,12.2690856,78.938281
